,random_state,load_pattern,exp_type,regression_method,trace_family,y_metric,nmae,training_time
79,3,PeriodicLoad,SingleApp,random_forest,VoD,DispFrames,0.10710935023372863,8.263197660446167
80,4,PeriodicLoad,SingleApp,reg_tree,VoD,DispFrames,0.11854992915690629,1.0174598693847656
81,4,PeriodicLoad,SingleApp,random_forest,VoD,DispFrames,0.10916036238945426,8.274932384490967
82,5,PeriodicLoad,SingleApp,reg_tree,VoD,DispFrames,0.10998340329000253,0.849452018737793
83,5,PeriodicLoad,SingleApp,random_forest,VoD,DispFrames,0.10755293825247814,8.728521347045898
84,0,PeriodicLoad,SingleApp,reg_tree,VoD,noAudioPlayed,0.31641658841362497,1.1829700469970703
85,0,PeriodicLoad,SingleApp,random_forest,VoD,noAudioPlayed,0.23387141726663713,11.816119909286499
86,1,PeriodicLoad,SingleApp,reg_tree,VoD,noAudioPlayed,0.32696751789668077,1.16813063621521
87,1,PeriodicLoad,SingleApp,random_forest,VoD,noAudioPlayed,0.23582670712965853,12.605138063430786
88,2,PeriodicLoad,SingleApp,reg_tree,VoD,noAudioPlayed,0.31729939258222034,1.1631243228912354
89,2,PeriodicLoad,SingleApp,random_forest,VoD,noAudioPlayed,0.23309579487206425,11.938844919204712
90,3,PeriodicLoad,SingleApp,reg_tree,VoD,noAudioPlayed,0.3240183696870266,1.1954503059387207
91,3,PeriodicLoad,SingleApp,random_forest,VoD,noAudioPlayed,0.2341919345064432,11.90373706817627
92,4,PeriodicLoad,SingleApp,reg_tree,VoD,noAudioPlayed,0.3290831948537931,1.1273300647735596
93,4,PeriodicLoad,SingleApp,random_forest,VoD,noAudioPlayed,0.238534138206221,11.794445037841797
94,5,PeriodicLoad,SingleApp,reg_tree,VoD,noAudioPlayed,0.32007497428769455,1.0914218425750732
95,5,PeriodicLoad,SingleApp,random_forest,VoD,noAudioPlayed,0.23506827536550715,11.774035692214966
