experimento,período,carga,apps,feature,método,nmae,função
2,4,PeriodicLoad,BothApps,DispFrames,RF,0.10603212883695184,máximo
2,4,PeriodicLoad,BothApps,DispFrames,RT,0.1131367893820725,mínimo
2,4,PeriodicLoad,BothApps,DispFrames,RF,0.10660642366356156,mínimo
1,4,PeriodicLoad,BothApps,DispFrames,RT,0.11961823843795683,raw
1,4,PeriodicLoad,BothApps,DispFrames,RF,0.10747533266536247,raw
2,2,PeriodicLoad,BothApps,DispFrames,RT,0.10806215782091884,média
2,2,PeriodicLoad,BothApps,DispFrames,RF,0.10365307845730927,média
2,2,PeriodicLoad,BothApps,DispFrames,RT,0.11135435727099163,máximo
2,2,PeriodicLoad,BothApps,DispFrames,RF,0.10438295868372627,máximo
2,2,PeriodicLoad,BothApps,DispFrames,RT,0.1109317039468038,mínimo
2,2,PeriodicLoad,BothApps,DispFrames,RF,0.10343758579783861,mínimo
1,2,PeriodicLoad,BothApps,DispFrames,RT,0.1058014362820182,raw
1,2,PeriodicLoad,BothApps,DispFrames,RF,0.10183615301844083,raw
3,256,FlashcrowdLoad,SingleApp,DispFrames,RT,0.17234750102135207,raw
3,256,FlashcrowdLoad,SingleApp,DispFrames,RF,0.17234750102135207,raw
2,256,FlashcrowdLoad,SingleApp,DispFrames,RT,0.1731717797774405,média
2,256,FlashcrowdLoad,SingleApp,DispFrames,RF,0.140591831488314,média
2,256,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11156318729586188,máximo
2,256,FlashcrowdLoad,SingleApp,DispFrames,RF,0.13455306467951653,máximo
2,256,FlashcrowdLoad,SingleApp,DispFrames,RT,0.1311710304331168,mínimo
2,256,FlashcrowdLoad,SingleApp,DispFrames,RF,0.11821067465214642,mínimo
1,256,FlashcrowdLoad,SingleApp,DispFrames,RT,0.16158841822223677,raw
1,256,FlashcrowdLoad,SingleApp,DispFrames,RF,0.11552085404929513,raw
3,128,FlashcrowdLoad,SingleApp,DispFrames,RT,0.12907184195639876,raw
3,128,FlashcrowdLoad,SingleApp,DispFrames,RF,0.12907184195639876,raw
2,128,FlashcrowdLoad,SingleApp,DispFrames,RT,0.14619613303743673,média
2,128,FlashcrowdLoad,SingleApp,DispFrames,RF,0.11879605857979297,média
2,128,FlashcrowdLoad,SingleApp,DispFrames,RT,0.12240836633160727,máximo
