experimento,período,Features,função
256,[['0_cpu16_.sys_mean', '5_i129_intr.s_mean', '5_orq6.s_mean', '5_omcpck6.s_mean', '5_omsg6.s_mean', '5_ogmbr6.s_mean', '0_cpu3_.sys_std', '0_cpu5_.sys_std', '0_cpu12_.sys_std', '5_cpu20_.sys_median', '4_totsck_25th', '0_cpu2_.sys_75th']],raw
2,256,média,[['0_cpu12_.sys', '2_proc.s', '3_proc.s', '3_eth0_txpck.s', '3_eth0_txkB.s', '4_proc.s', '4_pgfree.s', '4_bufpg.s', '4_dev252.0_await', '5_frmpg.s', '5_active.s', '5_passive.s']],média
2,256,máximo,[['0_pgfree.s', '1_i122_intr.s', '1_eth1_rxpck.s', '2_cpu5_.iowait', '2_cpu17_.iowait', '3_eth1_rxpck.s', '3_eth1_rxkB.s', '3_eth1_.ifutil', '4_i132_intr.s', '4_pgfree.s', '4_dev252.0_await', '5_passive.s']],máximo
2,256,mínimo,[['0_i126_intr.s', '0_i129_intr.s', '3_cpu1_.sys', '3_cpu5_.sys', '3_cpu8_.sys', '3_cpu9_.sys', '3_cpu20_.sys', '3_i133_intr.s', '3_frmpg.s', '4_i117_intr.s', '5_cswch.s', '5_fault.s']],mínimo
1,256,[['0_cpu7_.sys', '0_cpu7_.idle', '0_cpu11_.usr', '0_cpu11_.idle', '0_cpu14_.idle', '0_cpu16_.sys', '2_cpu2_.iowait', '2_cpu16_.soft', '2_cpu22_.soft', '3_i128_intr.s', '4_blocked', '5_cpu22_.soft']],raw
128,[['4_rtps_mean', '4_bread.s_mean', '4_dev8.0_rd_sec.s_mean', '4_dev8.5_rd_sec.s_mean', '2_X.dev.mapper.cloud..7.root_Ifree_std', '2_X.dev.mapper.cloud..7.root_Iused_std', '3_X.dev.mapper.cloud..8.root_Ifree_std', '3_X.dev.mapper.cloud..8.root_Iused_std', '4_X.dev.mapper.cloud..9.root_Ifree_std', '4_X.dev.mapper.cloud..9.root_Iused_std', '3_X.dev.mapper.cloud..8.root_Ifree_range', '3_X.dev.mapper.cloud..8.root_Iused_range']],raw
2,128,média,[['2_proc.s', '3_proc.s', '4_proc.s', '4_pgpgin.s', '4_rtps', '4_bread.s', '4_dev8.0_rd_sec.s', '4_dev8.5_rd_sec.s', '4_dev8.5_.util', '4_dev252.0_rd_sec.s', '5_active.s', '5_passive.s']],média
2,128,máximo,[['0_i133_intr.s', '0_pgfree.s', '2_cpu11_.iowait', '2_cpu17_.iowait', '3_dev8.0_avgqu.sz', '3_dev8.5_avgqu.sz', '3_dev252.0_avgqu.sz', '4_i118_intr.s', '4_eth1_rxpck.s', '4_eth1_rxkB.s', '4_orq.s', '5_passive.s']],máximo
2,128,mínimo,[['2_fault.s', '3_cpu1_.sys', '3_cpu10_.sys', '4_cpu1_.usr', '4_cpu5_.usr', '4_cpu9_.usr', '4_cpu11_.usr', '4_i117_intr.s', '4_i122_intr.s', '4_fault.s', '4_kbmemfree', '5_cpu4_.idle']],mínimo
1,128,[['2_all_..soft', '2_file.nr', '3_i126_intr.s', '3_kbmemfree', '3_kbmemused', '3_X..memused', '3_kbactive', '3_file.nr', '4_X..memused', '4_file.nr', '4_runq.sz', '4_totsck']],raw
64,[['3_proc.s_mean', '4_proc.s_mean', '4_dev8.0_await_mean', '4_dev8.5_await_mean', '5_totsck_mean', '5_tcpsck_mean', '5_active.s_mean', '5_passive.s_mean', '5_cpu18_.sys_median', '5_passive.s_median', '4_proc.s_25th', '3_dev8.0_avgqu.sz_range']],raw
