,random_state,load_pattern,exp_type,regression_method,trace_family,y_metric,switch,nmae
99,42,PeriodicLoad,BothApps,random_forest,VoD,noAudioPlayed,SWA4,0.4308594985408362
100,42,PeriodicLoad,BothApps,reg_tree,VoD,noAudioPlayed,SWA5,0.5288196890363905
101,42,PeriodicLoad,BothApps,random_forest,VoD,noAudioPlayed,SWA5,0.4919481790044368
102,42,PeriodicLoad,BothApps,reg_tree,VoD,noAudioPlayed,SWA6,0.43092349708590744
103,42,PeriodicLoad,BothApps,random_forest,VoD,noAudioPlayed,SWA6,0.4308563764062247
104,42,PeriodicLoad,BothApps,reg_tree,VoD,noAudioPlayed,SWB1,0.5060602319518377
105,42,PeriodicLoad,BothApps,random_forest,VoD,noAudioPlayed,SWB1,0.475531471954283
106,42,PeriodicLoad,BothApps,reg_tree,VoD,noAudioPlayed,SWB2,0.49348770161436745
107,42,PeriodicLoad,BothApps,random_forest,VoD,noAudioPlayed,SWB2,0.45332239394954316
108,42,PeriodicLoad,BothApps,reg_tree,VoD,noAudioPlayed,SWB3,0.5127613452335132
109,42,PeriodicLoad,BothApps,random_forest,VoD,noAudioPlayed,SWB3,0.48216407608854156
110,42,PeriodicLoad,BothApps,reg_tree,VoD,noAudioPlayed,SWB4,0.5037781134487042
111,42,PeriodicLoad,BothApps,random_forest,VoD,noAudioPlayed,SWB4,0.46230117570007306
112,42,FlashcrowdLoad,SingleApp,reg_tree,VoD,DispFrames,SWC1,0.1318832439932933
113,42,FlashcrowdLoad,SingleApp,random_forest,VoD,DispFrames,SWC1,0.12853445822204337
114,42,FlashcrowdLoad,SingleApp,reg_tree,VoD,DispFrames,SWC2,0.1444029055564841
115,42,FlashcrowdLoad,SingleApp,random_forest,VoD,DispFrames,SWC2,0.14439384051729212
116,42,FlashcrowdLoad,SingleApp,reg_tree,VoD,DispFrames,SWC3,0.1444029055564841
117,42,FlashcrowdLoad,SingleApp,random_forest,VoD,DispFrames,SWC3,0.14439384051729212
118,42,FlashcrowdLoad,SingleApp,reg_tree,VoD,DispFrames,SWC4,0.14445905340914042
119,42,FlashcrowdLoad,SingleApp,random_forest,VoD,DispFrames,SWC4,0.1444500389477057
120,42,FlashcrowdLoad,SingleApp,reg_tree,VoD,DispFrames,SWA1,0.13545959875447042
121,42,FlashcrowdLoad,SingleApp,random_forest,VoD,DispFrames,SWA1,0.1305096465316281
122,42,FlashcrowdLoad,SingleApp,reg_tree,VoD,DispFrames,SWA2,0.13830085981184903
123,42,FlashcrowdLoad,SingleApp,random_forest,VoD,DispFrames,SWA2,0.1346013306688426
124,42,FlashcrowdLoad,SingleApp,reg_tree,VoD,DispFrames,SWA3,0.1444029055564841
125,42,FlashcrowdLoad,SingleApp,random_forest,VoD,DispFrames,SWA3,0.14439384051729212
126,42,FlashcrowdLoad,SingleApp,reg_tree,VoD,DispFrames,SWA4,0.14442023369318555
127,42,FlashcrowdLoad,SingleApp,random_forest,VoD,DispFrames,SWA4,0.14441134958505775
128,42,FlashcrowdLoad,SingleApp,reg_tree,VoD,DispFrames,SWA5,0.12316467475545055
129,42,FlashcrowdLoad,SingleApp,random_forest,VoD,DispFrames,SWA5,0.12055309488562566
130,42,FlashcrowdLoad,SingleApp,reg_tree,VoD,DispFrames,SWA6,0.1444029055564841
131,42,FlashcrowdLoad,SingleApp,random_forest,VoD,DispFrames,SWA6,0.14439384051729212
132,42,FlashcrowdLoad,SingleApp,reg_tree,VoD,DispFrames,SWB1,0.11768863963614237
133,42,FlashcrowdLoad,SingleApp,random_forest,VoD,DispFrames,SWB1,0.1143082838742353
134,42,FlashcrowdLoad,SingleApp,reg_tree,VoD,DispFrames,SWB2,0.14034301619683992
135,42,FlashcrowdLoad,SingleApp,random_forest,VoD,DispFrames,SWB2,0.13640120985319232
136,42,FlashcrowdLoad,SingleApp,reg_tree,VoD,DispFrames,SWB3,0.13138767520421563
137,42,FlashcrowdLoad,SingleApp,random_forest,VoD,DispFrames,SWB3,0.1275141954073621
138,42,FlashcrowdLoad,SingleApp,reg_tree,VoD,DispFrames,SWB4,0.1370743270588818
139,42,FlashcrowdLoad,SingleApp,random_forest,VoD,DispFrames,SWB4,0.1339330977546145
140,42,FlashcrowdLoad,SingleApp,reg_tree,VoD,noAudioPlayed,SWC1,0.35289466534756997
141,42,FlashcrowdLoad,SingleApp,random_forest,VoD,noAudioPlayed,SWC1,0.33166809737637926
142,42,FlashcrowdLoad,SingleApp,reg_tree,VoD,noAudioPlayed,SWC2,0.32935882674699546
143,42,FlashcrowdLoad,SingleApp,random_forest,VoD,noAudioPlayed,SWC2,0.3293554852916579
144,42,FlashcrowdLoad,SingleApp,reg_tree,VoD,noAudioPlayed,SWC3,0.32935882674699546
145,42,FlashcrowdLoad,SingleApp,random_forest,VoD,noAudioPlayed,SWC3,0.3293554852916579
146,42,FlashcrowdLoad,SingleApp,reg_tree,VoD,noAudioPlayed,SWC4,0.32958460851457383
147,42,FlashcrowdLoad,SingleApp,random_forest,VoD,noAudioPlayed,SWC4,0.32959242486006296
148,42,FlashcrowdLoad,SingleApp,reg_tree,VoD,noAudioPlayed,SWA1,0.3624367576877534
149,42,FlashcrowdLoad,SingleApp,random_forest,VoD,noAudioPlayed,SWA1,0.3347112702293831
150,42,FlashcrowdLoad,SingleApp,reg_tree,VoD,noAudioPlayed,SWA2,0.36868478203294663
