período,função,carga,apps,feature,método,nmae
256,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.1167029270221805,
256,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.100422154126442,
256,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.11092400657395925,
256,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10511603389733352,
256,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.11792885952056932,
128,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.1305388068420359,
128,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.11256331194634482,
128,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.13166510983722923,
128,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.12751202400315034,
128,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.09872430668798571,
128,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.11522862523488135,
64,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.12693105035890137,
64,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.11806821543430286,
64,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.13025560104575676,
64,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.1221126241545944,
64,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.14548909077841146,
64,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.1322465346138827,
32,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.12319290951135849,
32,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10833034337712082,
32,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11953304319106582,
32,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.11248685996563516,
32,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11125835637992292,
32,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10235356644855981,
16,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11889827009969865,
16,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10789975751273449,
16,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11515544815170824,
16,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10710158920093456,
16,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10869041518859408,
16,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10520166811265708,
8,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.1142226989404657,
8,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10726380525427497,
8,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11799914177321018,
8,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.108704181205892,
8,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.12267514320829669,
8,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.1082665452333504,
4,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.112133507850802,
4,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10470287818343427,
4,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11162171250485596,
4,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10557519530110164,
4,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11456345842613587,
4,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10580468570036154,
2,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10772662718629038,
2,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10091570156725503,
2,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10865718709075883,
2,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10159830461058579,
2,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10709564848440961,
2,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10093792332609086,
256,média,PeriodicLoad,SingleApp,DispFrames,RT,0.11406532937806013,
256,média,PeriodicLoad,SingleApp,DispFrames,RF,0.1128762389742249,
