,k_best,LoadPattern,ExpType,RegressionMethod,ReadsAvgNmae,ReadsAvgTrainingTime,DispFramesNmae,DispFramesTrainingTime,ReadsAvgNmaeOriginal,ReadsAvgTrainingTimeOriginal,DispFramesNmaeOriginal,DispFramesTrainingTimeOriginal,DeltaToOriginalReadsAvgNmae,DeltaToOriginalDispFramesNmae
11,6,PeriodicLoad,BothApps,RandomForest,0.045456860136562104,2.4560494422912598,0.1114267278321899,1.4008386135101318,0.02,30,0.11,38,0.025456860136562103,0.001426727832189903
12,7,PeriodicLoad,BothApps,RandomForest,0.045427670448826826,2.7402617931365967,0.09907841759496598,1.677222728729248,0.02,32,0.11,40,0.025427670448826826,-0.01092158240503402
13,7,PeriodicLoad,BothApps,RandomForest,0.045427670448826826,2.7402617931365967,0.09907841759496598,1.677222728729248,0.02,30,0.11,38,0.025427670448826826,-0.01092158240503402
14,8,PeriodicLoad,BothApps,RandomForest,0.04301026660946722,3.288545608520508,0.10167307189616055,1.804293155670166,0.02,32,0.11,40,0.023010266609467218,-0.008326928103839448
15,8,PeriodicLoad,BothApps,RandomForest,0.04301026660946722,3.288545608520508,0.10167307189616055,1.804293155670166,0.02,30,0.11,38,0.023010266609467218,-0.008326928103839448
16,9,PeriodicLoad,BothApps,RandomForest,0.04302506668566477,3.74726939201355,0.10251135962838726,2.3844358921051025,0.02,32,0.11,40,0.02302506668566477,-0.007488640371612745
17,9,PeriodicLoad,BothApps,RandomForest,0.04302506668566477,3.74726939201355,0.10251135962838726,2.3844358921051025,0.02,30,0.11,38,0.02302506668566477,-0.007488640371612745
18,10,PeriodicLoad,BothApps,RandomForest,0.04297531217534876,4.3027024269104,0.10289698664985704,2.4508984088897705,0.02,32,0.11,40,0.022975312175348758,-0.0071030133501429615
19,10,PeriodicLoad,BothApps,RandomForest,0.04297531217534876,4.3027024269104,0.10289698664985704,2.4508984088897705,0.02,30,0.11,38,0.022975312175348758,-0.0071030133501429615
20,11,PeriodicLoad,BothApps,RandomForest,0.04285608788195065,4.440135717391968,0.1045150067163451,2.6044347286224365,0.02,32,0.11,40,0.022856087881950652,-0.005484993283654899
21,11,PeriodicLoad,BothApps,RandomForest,0.04285608788195065,4.440135717391968,0.1045150067163451,2.6044347286224365,0.02,30,0.11,38,0.022856087881950652,-0.005484993283654899
22,12,PeriodicLoad,BothApps,RandomForest,0.04272966924464344,5.866639614105225,0.10544647748335922,2.894352674484253,0.02,32,0.11,40,0.022729669244643442,-0.004553522516640776
23,12,PeriodicLoad,BothApps,RandomForest,0.04272966924464344,5.866639614105225,0.10544647748335922,2.894352674484253,0.02,30,0.11,38,0.022729669244643442,-0.004553522516640776
24,13,PeriodicLoad,BothApps,RandomForest,0.04220543821116523,5.121301174163818,0.10591868532234701,3.446800708770752,0.02,32,0.11,40,0.02220543821116523,-0.004081314677652992
25,13,PeriodicLoad,BothApps,RandomForest,0.04220543821116523,5.121301174163818,0.10591868532234701,3.446800708770752,0.02,30,0.11,38,0.02220543821116523,-0.004081314677652992
26,14,PeriodicLoad,BothApps,RandomForest,0.04210092691257722,6.044955492019653,0.1066151309124474,3.7516212463378906,0.02,32,0.11,40,0.02210092691257722,-0.0033848690875526027
