período,carga,apps,feature,método,nmae,
2,FlashcrowdLoad,BothApps,ReadsAvg,RF,0.07177049955232499,
4,FlashcrowdLoad,BothApps,ReadsAvg,RT,0.09403919140091374,
4,FlashcrowdLoad,BothApps,ReadsAvg,RF,0.07208226057851583,
8,FlashcrowdLoad,BothApps,ReadsAvg,RT,0.09589800405273141,
8,FlashcrowdLoad,BothApps,ReadsAvg,RF,0.07795481334021676,
16,FlashcrowdLoad,BothApps,ReadsAvg,RT,0.0942532617201392,
16,FlashcrowdLoad,BothApps,ReadsAvg,RF,0.07277758054488194,
32,FlashcrowdLoad,BothApps,ReadsAvg,RT,0.09145023938471403,
32,FlashcrowdLoad,BothApps,ReadsAvg,RF,0.07623094879022965,
64,FlashcrowdLoad,BothApps,ReadsAvg,RT,0.08886492444489699,
64,FlashcrowdLoad,BothApps,ReadsAvg,RF,0.07570829657240304,
128,FlashcrowdLoad,BothApps,ReadsAvg,RT,0.09205502618684348,
128,FlashcrowdLoad,BothApps,ReadsAvg,RF,0.06968753941494978,
256,FlashcrowdLoad,BothApps,ReadsAvg,RT,0.10363499904576597,
256,FlashcrowdLoad,BothApps,ReadsAvg,RF,0.0760165120814254,
2,FlashcrowdLoad,BothApps,WritesAvg,RT,0.09024765486642665,
2,FlashcrowdLoad,BothApps,WritesAvg,RF,0.07017723410914471,
4,FlashcrowdLoad,BothApps,WritesAvg,RT,0.09164895313552601,
4,FlashcrowdLoad,BothApps,WritesAvg,RF,0.0706223259664823,
8,FlashcrowdLoad,BothApps,WritesAvg,RT,0.09387955783768022,
8,FlashcrowdLoad,BothApps,WritesAvg,RF,0.07374287904315324,
16,FlashcrowdLoad,BothApps,WritesAvg,RT,0.0908404512072152,
16,FlashcrowdLoad,BothApps,WritesAvg,RF,0.06995453228408113,
32,FlashcrowdLoad,BothApps,WritesAvg,RT,0.09512765824055942,
32,FlashcrowdLoad,BothApps,WritesAvg,RF,0.07084936550159762,
64,FlashcrowdLoad,BothApps,WritesAvg,RT,0.08404277011659422,
64,FlashcrowdLoad,BothApps,WritesAvg,RF,0.06724675815240297,
128,FlashcrowdLoad,BothApps,WritesAvg,RT,0.09658495063174687,
128,FlashcrowdLoad,BothApps,WritesAvg,RF,0.07726419434403055,
256,FlashcrowdLoad,BothApps,WritesAvg,RT,0.1431902932587686,
256,FlashcrowdLoad,BothApps,WritesAvg,RF,0.08961341074125542,
