período,carga,apps,feature,método,switch,nmae,
256,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.12354591800469292,
2,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.14276386655150083,
2,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.1427965195881067,
4,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.14227794690607856,
4,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.14231618310258373,
8,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.1405221368010712,
8,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.14084389029628594,
16,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.1464102993637516,
16,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.1462673664563985,
32,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.13700957502555242,
32,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.13694423637160735,
64,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.1458562017765521,
64,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.14603504714227927,
128,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.13672810221139964,
128,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.13717092944029313,
256,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.12417852888080255,
256,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.1243547112978027,
2,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.14318061289553627,
2,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.14302158125250575,
4,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.1408586933408612,
4,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.14059547765469751,
8,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.14401864970019918,
8,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.14393281729690258,
16,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.14368291529380048,
16,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.14342656449212768,
32,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.13679798852208136,
32,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.13778346866651958,
64,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.13228654099136072,
64,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.1321658596017842,
128,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.14269580553736397,
128,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.14425777054575714,
256,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.12603220214734126,
256,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.12550756452633907,
2,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.13105305207674028,
2,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.1275397368897374,
4,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.12743320660112506,
4,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.12506668980306437,
8,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.12539314682999503,
8,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.12422573352921698,
16,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.1330114771233713,
16,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.1285214018856013,
32,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.12860651660241265,
32,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.12641531595019967,
64,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.12369351507213816,
64,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.12385408092657108,
128,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.13168072680077872,
128,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.12834146658014273,
256,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.11320861912238658,
256,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.11137750323664712,
2,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.13208872075246805,
2,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.12883362206074872,
4,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.12731558226274348,
4,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.12612295379196023,
8,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.13333091744924055,
8,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.12999893873663065,
16,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.13297531425736026,
16,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.12964447051769767,
32,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.12969458066919112,
32,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.1261424341810306,
64,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.12580096634386081,
64,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.12414144529926938,
128,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.14576479087729144,
128,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.14242264772685928,
256,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.12101897625636082,
256,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.11700742226229591,
2,FlashcrowdLoad,BothApps,DispFrames,RT,SWA3,0.14380812021209383,
2,FlashcrowdLoad,BothApps,DispFrames,RF,SWA3,0.14380835983987916,
4,FlashcrowdLoad,BothApps,DispFrames,RT,SWA3,0.14427571117105437,
4,FlashcrowdLoad,BothApps,DispFrames,RF,SWA3,0.1442910109591112,
8,FlashcrowdLoad,BothApps,DispFrames,RT,SWA3,0.14424694511478822,
8,FlashcrowdLoad,BothApps,DispFrames,RF,SWA3,0.14423052519604115,
16,FlashcrowdLoad,BothApps,DispFrames,RT,SWA3,0.1452788486801931,
16,FlashcrowdLoad,BothApps,DispFrames,RF,SWA3,0.1448495857727594,
32,FlashcrowdLoad,BothApps,DispFrames,RT,SWA3,0.1403524008420586,
32,FlashcrowdLoad,BothApps,DispFrames,RF,SWA3,0.1410825963913137,
64,FlashcrowdLoad,BothApps,DispFrames,RT,SWA3,0.1339818035155444,
64,FlashcrowdLoad,BothApps,DispFrames,RF,SWA3,0.13427771807145425,
128,FlashcrowdLoad,BothApps,DispFrames,RT,SWA3,0.13168261839557896,
128,FlashcrowdLoad,BothApps,DispFrames,RF,SWA3,0.1316967945728245,
256,FlashcrowdLoad,BothApps,DispFrames,RT,SWA3,0.11715449694803401,
256,FlashcrowdLoad,BothApps,DispFrames,RF,SWA3,0.11573944527037588,
2,FlashcrowdLoad,BothApps,DispFrames,RT,SWA4,0.14218356330599935,
2,FlashcrowdLoad,BothApps,DispFrames,RF,SWA4,0.1420376247636946,
4,FlashcrowdLoad,BothApps,DispFrames,RT,SWA4,0.14147659778748056,
4,FlashcrowdLoad,BothApps,DispFrames,RF,SWA4,0.14172311928058798,
8,FlashcrowdLoad,BothApps,DispFrames,RT,SWA4,0.14236988124877475,
8,FlashcrowdLoad,BothApps,DispFrames,RF,SWA4,0.1427566072277536,
16,FlashcrowdLoad,BothApps,DispFrames,RT,SWA4,0.1417985312896938,
16,FlashcrowdLoad,BothApps,DispFrames,RF,SWA4,0.14217291033266446,
32,FlashcrowdLoad,BothApps,DispFrames,RT,SWA4,0.1406446631301726,
32,FlashcrowdLoad,BothApps,DispFrames,RF,SWA4,0.14102773269710803,
64,FlashcrowdLoad,BothApps,DispFrames,RT,SWA4,0.1365005007312657,
64,FlashcrowdLoad,BothApps,DispFrames,RF,SWA4,0.13648068587080137,
128,FlashcrowdLoad,BothApps,DispFrames,RT,SWA4,0.12402745990422281,
128,FlashcrowdLoad,BothApps,DispFrames,RF,SWA4,0.12499571557320209,
256,FlashcrowdLoad,BothApps,DispFrames,RT,SWA4,0.12704865133211982,
256,FlashcrowdLoad,BothApps,DispFrames,RF,SWA4,0.12620788672585387,
2,FlashcrowdLoad,BothApps,DispFrames,RT,SWA5,0.13776845837631604,
2,FlashcrowdLoad,BothApps,DispFrames,RF,SWA5,0.13556609737762443,
4,FlashcrowdLoad,BothApps,DispFrames,RT,SWA5,0.1418847595821352,
4,FlashcrowdLoad,BothApps,DispFrames,RF,SWA5,0.13917916306283978,
8,FlashcrowdLoad,BothApps,DispFrames,RT,SWA5,0.14463619402985073,
8,FlashcrowdLoad,BothApps,DispFrames,RF,SWA5,0.14033085440851295,
16,FlashcrowdLoad,BothApps,DispFrames,RT,SWA5,0.13587060831314615,
16,FlashcrowdLoad,BothApps,DispFrames,RF,SWA5,0.13440731787867627,
32,FlashcrowdLoad,BothApps,DispFrames,RT,SWA5,0.13704820838127224,
32,FlashcrowdLoad,BothApps,DispFrames,RF,SWA5,0.13356620403481315,
64,FlashcrowdLoad,BothApps,DispFrames,RT,SWA5,0.1320753739424178,
64,FlashcrowdLoad,BothApps,DispFrames,RF,SWA5,0.13053612661109126,
128,FlashcrowdLoad,BothApps,DispFrames,RT,SWA5,0.13309266940430506,
128,FlashcrowdLoad,BothApps,DispFrames,RF,SWA5,0.13242769738407273,
256,FlashcrowdLoad,BothApps,DispFrames,RT,SWA5,0.1373269446638673,
256,FlashcrowdLoad,BothApps,DispFrames,RF,SWA5,0.13686520392466636,
2,FlashcrowdLoad,BothApps,DispFrames,RT,SWA6,0.14169589836813629,
2,FlashcrowdLoad,BothApps,DispFrames,RF,SWA6,0.1415023163915575,
4,FlashcrowdLoad,BothApps,DispFrames,RT,SWA6,0.14198412373850972,
4,FlashcrowdLoad,BothApps,DispFrames,RF,SWA6,0.14178554415045663,
8,FlashcrowdLoad,BothApps,DispFrames,RT,SWA6,0.1421123597205397,
8,FlashcrowdLoad,BothApps,DispFrames,RF,SWA6,0.1420691111357734,
16,FlashcrowdLoad,BothApps,DispFrames,RT,SWA6,0.14408755864885428,
16,FlashcrowdLoad,BothApps,DispFrames,RF,SWA6,0.14410516109642615,
32,FlashcrowdLoad,BothApps,DispFrames,RT,SWA6,0.13950457217844672,
32,FlashcrowdLoad,BothApps,DispFrames,RF,SWA6,0.13925037512174027,
64,FlashcrowdLoad,BothApps,DispFrames,RT,SWA6,0.13648234814578103,
64,FlashcrowdLoad,BothApps,DispFrames,RF,SWA6,0.13566422337761627,
128,FlashcrowdLoad,BothApps,DispFrames,RT,SWA6,0.13810780685249485,
128,FlashcrowdLoad,BothApps,DispFrames,RF,SWA6,0.1382682363642157,
256,FlashcrowdLoad,BothApps,DispFrames,RT,SWA6,0.12348112352763514,
256,FlashcrowdLoad,BothApps,DispFrames,RF,SWA6,0.12445249068760693,
2,FlashcrowdLoad,BothApps,DispFrames,RT,SWB1,0.14648377785953764,
2,FlashcrowdLoad,BothApps,DispFrames,RF,SWB1,0.14342931555458827,
4,FlashcrowdLoad,BothApps,DispFrames,RT,SWB1,0.14517256919084398,
4,FlashcrowdLoad,BothApps,DispFrames,RF,SWB1,0.14307208270136196,
8,FlashcrowdLoad,BothApps,DispFrames,RT,SWB1,0.14065759977634773,
8,FlashcrowdLoad,BothApps,DispFrames,RF,SWB1,0.1389453534631874,
16,FlashcrowdLoad,BothApps,DispFrames,RT,SWB1,0.145446711759179,
16,FlashcrowdLoad,BothApps,DispFrames,RF,SWB1,0.1419031161302342,
32,FlashcrowdLoad,BothApps,DispFrames,RT,SWB1,0.13597877829863003,
32,FlashcrowdLoad,BothApps,DispFrames,RF,SWB1,0.13371744024474863,
64,FlashcrowdLoad,BothApps,DispFrames,RT,SWB1,0.14003245356185617,
64,FlashcrowdLoad,BothApps,DispFrames,RF,SWB1,0.13661636191769794,
128,FlashcrowdLoad,BothApps,DispFrames,RT,SWB1,0.1595181347150259,
128,FlashcrowdLoad,BothApps,DispFrames,RF,SWB1,0.14878644214162348,
256,FlashcrowdLoad,BothApps,DispFrames,RT,SWB1,0.12190440716196152,
256,FlashcrowdLoad,BothApps,DispFrames,RF,SWB1,0.12419744368396457,
2,FlashcrowdLoad,BothApps,DispFrames,RT,SWB2,0.13420366750442148,
2,FlashcrowdLoad,BothApps,DispFrames,RF,SWB2,0.12938365119750672,
4,FlashcrowdLoad,BothApps,DispFrames,RT,SWB2,0.13041503832759846,
4,FlashcrowdLoad,BothApps,DispFrames,RF,SWB2,0.12730957659435946,
8,FlashcrowdLoad,BothApps,DispFrames,RT,SWB2,0.1299538119404687,
8,FlashcrowdLoad,BothApps,DispFrames,RF,SWB2,0.12695158807093573,
16,FlashcrowdLoad,BothApps,DispFrames,RT,SWB2,0.13103018985371928,
16,FlashcrowdLoad,BothApps,DispFrames,RF,SWB2,0.12959193553964798,
32,FlashcrowdLoad,BothApps,DispFrames,RT,SWB2,0.13412409704733183,
32,FlashcrowdLoad,BothApps,DispFrames,RF,SWB2,0.13095206016575292,
64,FlashcrowdLoad,BothApps,DispFrames,RT,SWB2,0.11885426209737944,
64,FlashcrowdLoad,BothApps,DispFrames,RF,SWB2,0.11693167290362982,
128,FlashcrowdLoad,BothApps,DispFrames,RT,SWB2,0.12284148485161822,
128,FlashcrowdLoad,BothApps,DispFrames,RF,SWB2,0.12039495226277876,
256,FlashcrowdLoad,BothApps,DispFrames,RT,SWB2,0.12154249531054066,
256,FlashcrowdLoad,BothApps,DispFrames,RF,SWB2,0.12579401269176693,
2,FlashcrowdLoad,BothApps,DispFrames,RT,SWB3,0.12732306484437142,
2,FlashcrowdLoad,BothApps,DispFrames,RF,SWB3,0.12357207340603689,
4,FlashcrowdLoad,BothApps,DispFrames,RT,SWB3,0.1251774715658284,
4,FlashcrowdLoad,BothApps,DispFrames,RF,SWB3,0.12197691708012164,
8,FlashcrowdLoad,BothApps,DispFrames,RT,SWB3,0.12768249233573617,
8,FlashcrowdLoad,BothApps,DispFrames,RF,SWB3,0.12489698987764797,
16,FlashcrowdLoad,BothApps,DispFrames,RT,SWB3,0.13177384486485927,
16,FlashcrowdLoad,BothApps,DispFrames,RF,SWB3,0.12650298588771547,
32,FlashcrowdLoad,BothApps,DispFrames,RT,SWB3,0.12480591574016857,
32,FlashcrowdLoad,BothApps,DispFrames,RF,SWB3,0.1217278302548151,
64,FlashcrowdLoad,BothApps,DispFrames,RT,SWB3,0.12404780497390998,
64,FlashcrowdLoad,BothApps,DispFrames,RF,SWB3,0.11998902788623478,
128,FlashcrowdLoad,BothApps,DispFrames,RT,SWB3,0.12968445898380884,
128,FlashcrowdLoad,BothApps,DispFrames,RF,SWB3,0.12357771025715349,
256,FlashcrowdLoad,BothApps,DispFrames,RT,SWB3,0.11126641714164427,
256,FlashcrowdLoad,BothApps,DispFrames,RF,SWB3,0.10683941874129636,
2,FlashcrowdLoad,BothApps,DispFrames,RT,SWB4,0.12597250098284674,
2,FlashcrowdLoad,BothApps,DispFrames,RF,SWB4,0.12312029247613987,
4,FlashcrowdLoad,BothApps,DispFrames,RT,SWB4,0.1265353214474188,
4,FlashcrowdLoad,BothApps,DispFrames,RF,SWB4,0.12482456548807788,
8,FlashcrowdLoad,BothApps,DispFrames,RT,SWB4,0.13034660099235812,
8,FlashcrowdLoad,BothApps,DispFrames,RF,SWB4,0.12757982488082942,
16,FlashcrowdLoad,BothApps,DispFrames,RT,SWB4,0.12784856621089608,
16,FlashcrowdLoad,BothApps,DispFrames,RF,SWB4,0.12561092745780714,
32,FlashcrowdLoad,BothApps,DispFrames,RT,SWB4,0.12984427810147842,
32,FlashcrowdLoad,BothApps,DispFrames,RF,SWB4,0.12769796137709857,
64,FlashcrowdLoad,BothApps,DispFrames,RT,SWB4,0.12264487416068355,
64,FlashcrowdLoad,BothApps,DispFrames,RF,SWB4,0.11944939806989521,
128,FlashcrowdLoad,BothApps,DispFrames,RT,SWB4,0.1235919009401988,
128,FlashcrowdLoad,BothApps,DispFrames,RF,SWB4,0.12241436705181874,
256,FlashcrowdLoad,BothApps,DispFrames,RT,SWB4,0.12952282425966635,
256,FlashcrowdLoad,BothApps,DispFrames,RF,SWB4,0.12219849993534206,
2,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC1,0.3415027969332526,
2,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC1,0.3240506289365895,
4,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC1,0.34258812797289373,
4,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC1,0.3232693143068135,
8,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC1,0.33388113549116033,
8,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC1,0.31439772714072345,
16,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC1,0.36053584453475046,
16,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC1,0.3407322655083186,
32,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC1,0.33334518687102166,
32,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC1,0.31382302991509636,
64,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC1,0.33511332084974493,
64,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC1,0.3162794332881341,
128,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC1,0.34154976381679836,
128,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC1,0.323019892126254,
256,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC1,0.31460670533058943,
256,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC1,0.29477362359230425,
2,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC2,0.3232297831647543,
2,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC2,0.3229549658869669,
4,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC2,0.32492045584239676,
4,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC2,0.32404768910347376,
8,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC2,0.3212381556086694,
8,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC2,0.32208779392651715,
16,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC2,0.3279337040509597,
16,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC2,0.32895457048527216,
32,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC2,0.3194643549441267,
32,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC2,0.319477374961059,
64,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC2,0.3053892861872405,
64,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC2,0.30639982927247145,
128,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC2,0.2969215089425205,
128,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC2,0.2968405118267808,
256,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC2,0.30974576235610396,
256,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC2,0.3061952846687505,
2,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC3,0.32693109029177053,
2,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC3,0.3270289052712217,
4,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC3,0.32911177315543266,
4,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC3,0.3292391463763729,
8,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC3,0.32568126147196763,
8,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC3,0.3252921723931558,
16,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC3,0.320757727576865,
16,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC3,0.3218909830516532,
32,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC3,0.2997228490490758,
32,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC3,0.2992716730642831,
64,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC3,0.30157600060422945,
64,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC3,0.30261628546594943,
128,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC3,0.2751881501263608,
128,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC3,0.2718382960518048,
256,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC3,0.2988184866874328,
256,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC3,0.29675677972524683,
2,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC4,0.32684784089550706,
2,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC4,0.3270959563734607,
4,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC4,0.326085313485611,
4,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC4,0.3262407662071486,
8,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC4,0.3277263735139304,
8,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC4,0.3283979636677893,
16,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC4,0.32393695525997346,
16,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC4,0.322949201467553,
32,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC4,0.31412336993361656,
32,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC4,0.3141857708552536,
64,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC4,0.3019165365524221,
64,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC4,0.3029092917553119,
128,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC4,0.29646654474652184,
128,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC4,0.28939935024237146,
256,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC4,0.29894329161395916,
256,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC4,0.29372926380465975,
2,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWA1,0.34081888212514044,
2,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWA1,0.31975698026045213,
4,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWA1,0.33777629822593835,
4,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWA1,0.3204412476069506,
8,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWA1,0.3556580905255751,
8,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWA1,0.3336976943503401,
16,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWA1,0.3444864330084175,
16,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWA1,0.3276767979845489,
32,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWA1,0.35523574774215255,
32,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWA1,0.32933781128966866,
64,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWA1,0.33032209670014157,
64,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWA1,0.3115938538009049,
128,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWA1,0.3306528944235287,
128,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWA1,0.312689985090796,
256,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWA1,0.30617616493083094,
256,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWA1,0.2950363840227574,
2,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWA2,0.34438196084504497,
2,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWA2,0.3250942129680842,
4,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWA2,0.34152705524410143,
4,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWA2,0.3259835922872312,
8,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWA2,0.3381356534320279,
8,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWA2,0.32324235192038975,
16,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWA2,0.3479995999522524,
16,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWA2,0.32942192562768247,
32,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWA2,0.35033568327789794,
32,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWA2,0.3274187674481498,
64,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWA2,0.3474248927038626,
64,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWA2,0.3330198172714267,
128,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWA2,0.38010366257119504,
128,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWA2,0.34443951611159407,
256,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWA2,0.29613163693683553,
256,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWA2,0.2858659718089356,
2,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWA3,0.3238977704486979,
2,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWA3,0.3238995770692829,
4,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWA3,0.3181834001055418,
4,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWA3,0.31740155844657075,
8,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWA3,0.32700862083240617,
