período,carga,apps,feature,método,nmae,
16,PeriodicLoad,SingleApp,noAudioPlayed,RF,0.23778925654000066,
32,PeriodicLoad,SingleApp,noAudioPlayed,RT,0.3214182883240667,
32,PeriodicLoad,SingleApp,noAudioPlayed,RF,0.2364890703600741,
64,PeriodicLoad,SingleApp,noAudioPlayed,RT,0.30852013489387026,
64,PeriodicLoad,SingleApp,noAudioPlayed,RF,0.24831399193281758,
128,PeriodicLoad,SingleApp,noAudioPlayed,RT,0.30273037881647163,
128,PeriodicLoad,SingleApp,noAudioPlayed,RF,0.2488638319990995,
256,PeriodicLoad,SingleApp,noAudioPlayed,RT,0.30637613700084854,
256,PeriodicLoad,SingleApp,noAudioPlayed,RF,0.2587540174443512,
2,FlashcrowdLoad,BothApps,ReadsAvg,RT,0.043576831279843804,
2,FlashcrowdLoad,BothApps,ReadsAvg,RF,0.031801990928126085,
4,FlashcrowdLoad,BothApps,ReadsAvg,RT,0.04668051147416005,
4,FlashcrowdLoad,BothApps,ReadsAvg,RF,0.034312277640435665,
8,FlashcrowdLoad,BothApps,ReadsAvg,RT,0.04807482502105312,
8,FlashcrowdLoad,BothApps,ReadsAvg,RF,0.03521615540248883,
16,FlashcrowdLoad,BothApps,ReadsAvg,RT,0.05742506432010588,
16,FlashcrowdLoad,BothApps,ReadsAvg,RF,0.03716168879605767,
32,FlashcrowdLoad,BothApps,ReadsAvg,RT,0.0589152498821286,
32,FlashcrowdLoad,BothApps,ReadsAvg,RF,0.044690967654271184,
64,FlashcrowdLoad,BothApps,ReadsAvg,RT,0.04842686367536134,
64,FlashcrowdLoad,BothApps,ReadsAvg,RF,0.03594430881596792,
128,FlashcrowdLoad,BothApps,ReadsAvg,RT,0.04881563757980726,
128,FlashcrowdLoad,BothApps,ReadsAvg,RF,0.03707453448607448,
256,FlashcrowdLoad,BothApps,ReadsAvg,RT,0.043210203942325415,
256,FlashcrowdLoad,BothApps,ReadsAvg,RF,0.03868745518759945,
2,FlashcrowdLoad,BothApps,WritesAvg,RT,0.04143036300312639,
2,FlashcrowdLoad,BothApps,WritesAvg,RF,0.02911166789146755,
4,FlashcrowdLoad,BothApps,WritesAvg,RT,0.044361734271915094,
4,FlashcrowdLoad,BothApps,WritesAvg,RF,0.03153453320525366,
8,FlashcrowdLoad,BothApps,WritesAvg,RT,0.04172372119344639,
8,FlashcrowdLoad,BothApps,WritesAvg,RF,0.031199116307869746,
16,FlashcrowdLoad,BothApps,WritesAvg,RT,0.041312969593532936,
16,FlashcrowdLoad,BothApps,WritesAvg,RF,0.031997225431868836,
32,FlashcrowdLoad,BothApps,WritesAvg,RT,0.04084310239307197,
32,FlashcrowdLoad,BothApps,WritesAvg,RF,0.032032756129986566,
64,FlashcrowdLoad,BothApps,WritesAvg,RT,0.04449996144672008,
64,FlashcrowdLoad,BothApps,WritesAvg,RF,0.03596995413248242,
128,FlashcrowdLoad,BothApps,WritesAvg,RT,0.043151530712743406,
128,FlashcrowdLoad,BothApps,WritesAvg,RF,0.035531961130889404,
256,FlashcrowdLoad,BothApps,WritesAvg,RT,0.039727410130815884,
256,FlashcrowdLoad,BothApps,WritesAvg,RF,0.03257022194800952,
2,PeriodicLoad,BothApps,ReadsAvg,RT,0.061885949012860826,
2,PeriodicLoad,BothApps,ReadsAvg,RF,0.04467352033082609,
4,PeriodicLoad,BothApps,ReadsAvg,RT,0.06061807385502669,
4,PeriodicLoad,BothApps,ReadsAvg,RF,0.04571100665803401,
8,PeriodicLoad,BothApps,ReadsAvg,RT,0.06483709986592835,
8,PeriodicLoad,BothApps,ReadsAvg,RF,0.04573459477442692,
16,PeriodicLoad,BothApps,ReadsAvg,RT,0.05805051354193041,
16,PeriodicLoad,BothApps,ReadsAvg,RF,0.04492938711323249,
32,PeriodicLoad,BothApps,ReadsAvg,RT,0.06245830888203007,
32,PeriodicLoad,BothApps,ReadsAvg,RF,0.04616528528151413,
64,PeriodicLoad,BothApps,ReadsAvg,RT,0.06294224647046814,
64,PeriodicLoad,BothApps,ReadsAvg,RF,0.045403447584212726,
128,PeriodicLoad,BothApps,ReadsAvg,RT,0.05806570260628418,
128,PeriodicLoad,BothApps,ReadsAvg,RF,0.04673157663468731,
256,PeriodicLoad,BothApps,ReadsAvg,RT,0.05737488211404389,
256,PeriodicLoad,BothApps,ReadsAvg,RF,0.04628544172401674,
2,PeriodicLoad,BothApps,WritesAvg,RT,0.059346982533896295,
2,PeriodicLoad,BothApps,WritesAvg,RF,0.04383663835041672,
4,PeriodicLoad,BothApps,WritesAvg,RT,0.06183597082145521,
4,PeriodicLoad,BothApps,WritesAvg,RF,0.04634962364715056,
8,PeriodicLoad,BothApps,WritesAvg,RT,0.06204177420695761,
8,PeriodicLoad,BothApps,WritesAvg,RF,0.044874640499409243,
16,PeriodicLoad,BothApps,WritesAvg,RT,0.06691148116105913,
16,PeriodicLoad,BothApps,WritesAvg,RF,0.0500854883553402,
32,PeriodicLoad,BothApps,WritesAvg,RT,0.0642042193048536,
32,PeriodicLoad,BothApps,WritesAvg,RF,0.04802790343037447,
64,PeriodicLoad,BothApps,WritesAvg,RT,0.057640143190632875,
64,PeriodicLoad,BothApps,WritesAvg,RF,0.04342132366432705,
128,PeriodicLoad,BothApps,WritesAvg,RT,0.06221345032961621,
128,PeriodicLoad,BothApps,WritesAvg,RF,0.048796715620370155,
256,PeriodicLoad,BothApps,WritesAvg,RT,0.056412420505491515,
256,PeriodicLoad,BothApps,WritesAvg,RF,0.047253041271301144,
2,FlashcrowdLoad,SingleApp,ReadsAvg,RT,0.029553227467326925,
2,FlashcrowdLoad,SingleApp,ReadsAvg,RF,0.020931927624446713,
4,FlashcrowdLoad,SingleApp,ReadsAvg,RT,0.029938841715610297,
4,FlashcrowdLoad,SingleApp,ReadsAvg,RF,0.021407860591241896,
8,FlashcrowdLoad,SingleApp,ReadsAvg,RT,0.02875554708891732,
8,FlashcrowdLoad,SingleApp,ReadsAvg,RF,0.02070108113321397,
16,FlashcrowdLoad,SingleApp,ReadsAvg,RT,0.02834310432507718,
16,FlashcrowdLoad,SingleApp,ReadsAvg,RF,0.021032544403842154,
32,FlashcrowdLoad,SingleApp,ReadsAvg,RT,0.03609387847822698,
32,FlashcrowdLoad,SingleApp,ReadsAvg,RF,0.02782232451622846,
64,FlashcrowdLoad,SingleApp,ReadsAvg,RT,0.02860749641545072,
64,FlashcrowdLoad,SingleApp,ReadsAvg,RF,0.0218168803853278,
128,FlashcrowdLoad,SingleApp,ReadsAvg,RT,0.027926717501332226,
128,FlashcrowdLoad,SingleApp,ReadsAvg,RF,0.021541438045317992,
256,FlashcrowdLoad,SingleApp,ReadsAvg,RT,0.03199289935640495,
256,FlashcrowdLoad,SingleApp,ReadsAvg,RF,0.024720974260299393,
2,FlashcrowdLoad,SingleApp,WritesAvg,RT,0.03325960053830096,
2,FlashcrowdLoad,SingleApp,WritesAvg,RF,0.023292319759538556,
4,FlashcrowdLoad,SingleApp,WritesAvg,RT,0.031809464228390566,
4,FlashcrowdLoad,SingleApp,WritesAvg,RF,0.02376468081946927,
8,FlashcrowdLoad,SingleApp,WritesAvg,RT,0.031287705440954786,
8,FlashcrowdLoad,SingleApp,WritesAvg,RF,0.02300261152172016,
16,FlashcrowdLoad,SingleApp,WritesAvg,RT,0.03504600202638668,
16,FlashcrowdLoad,SingleApp,WritesAvg,RF,0.02446962640916159,
32,FlashcrowdLoad,SingleApp,WritesAvg,RT,0.033621336618612864,
32,FlashcrowdLoad,SingleApp,WritesAvg,RF,0.026388140369271975,
64,FlashcrowdLoad,SingleApp,WritesAvg,RT,0.030986295359078098,
64,FlashcrowdLoad,SingleApp,WritesAvg,RF,0.023637849107519635,
128,FlashcrowdLoad,SingleApp,WritesAvg,RT,0.029583793324469445,
128,FlashcrowdLoad,SingleApp,WritesAvg,RF,0.023467144395077685,
256,FlashcrowdLoad,SingleApp,WritesAvg,RT,0.03531126428049684,
256,FlashcrowdLoad,SingleApp,WritesAvg,RF,0.025710615962880542,
2,PeriodicLoad,SingleApp,ReadsAvg,RT,0.03469816837083707,
2,PeriodicLoad,SingleApp,ReadsAvg,RF,0.0247779858340836,
4,PeriodicLoad,SingleApp,ReadsAvg,RT,0.03481546956358483,
4,PeriodicLoad,SingleApp,ReadsAvg,RF,0.02495701033183452,
8,PeriodicLoad,SingleApp,ReadsAvg,RT,0.03630289481702931,
8,PeriodicLoad,SingleApp,ReadsAvg,RF,0.025383001892632245,
16,PeriodicLoad,SingleApp,ReadsAvg,RT,0.03451152602777336,
16,PeriodicLoad,SingleApp,ReadsAvg,RF,0.02555613182106076,
32,PeriodicLoad,SingleApp,ReadsAvg,RT,0.03502292352876829,
32,PeriodicLoad,SingleApp,ReadsAvg,RF,0.02545178037459877,
64,PeriodicLoad,SingleApp,ReadsAvg,RT,0.03431230028006171,
64,PeriodicLoad,SingleApp,ReadsAvg,RF,0.025376758686488286,
128,PeriodicLoad,SingleApp,ReadsAvg,RT,0.035787189847186714,
128,PeriodicLoad,SingleApp,ReadsAvg,RF,0.02737162188880825,
256,PeriodicLoad,SingleApp,ReadsAvg,RT,0.0345654894188125,
256,PeriodicLoad,SingleApp,ReadsAvg,RF,0.02665308227966063,
2,PeriodicLoad,SingleApp,WritesAvg,RT,0.035727229909742565,
2,PeriodicLoad,SingleApp,WritesAvg,RF,0.0262930595893173,
4,PeriodicLoad,SingleApp,WritesAvg,RT,0.03852587911986815,
4,PeriodicLoad,SingleApp,WritesAvg,RF,0.02701834903404297,
8,PeriodicLoad,SingleApp,WritesAvg,RT,0.03635971688186599,
8,PeriodicLoad,SingleApp,WritesAvg,RF,0.027323180966739476,
16,PeriodicLoad,SingleApp,WritesAvg,RT,0.03776288735608561,
16,PeriodicLoad,SingleApp,WritesAvg,RF,0.02753195190425555,
32,PeriodicLoad,SingleApp,WritesAvg,RT,0.03601545679757777,
32,PeriodicLoad,SingleApp,WritesAvg,RF,0.027457055292190027,
64,PeriodicLoad,SingleApp,WritesAvg,RT,0.03721982897348901,
64,PeriodicLoad,SingleApp,WritesAvg,RF,0.027604655577581395,
128,PeriodicLoad,SingleApp,WritesAvg,RT,0.0354742056069229,
128,PeriodicLoad,SingleApp,WritesAvg,RF,0.028457666918777352,
256,PeriodicLoad,SingleApp,WritesAvg,RT,0.03274180987778277,
256,PeriodicLoad,SingleApp,WritesAvg,RF,0.027309598703710674,
