período,carga,apps,feature,método,nmae,
64,PeriodicLoad,BothApps,ReadsAvg,RF,0.05929715525338575,
128,PeriodicLoad,BothApps,ReadsAvg,RT,0.03886666138166973,
128,PeriodicLoad,BothApps,ReadsAvg,RF,0.03303606698447738,
256,PeriodicLoad,BothApps,ReadsAvg,RT,0.046501471156410415,
256,PeriodicLoad,BothApps,ReadsAvg,RF,0.04120721438230723,
2,PeriodicLoad,BothApps,WritesAvg,RT,0.057066401797134104,
2,PeriodicLoad,BothApps,WritesAvg,RF,0.04326987828594828,
4,PeriodicLoad,BothApps,WritesAvg,RT,0.05878746026368447,
4,PeriodicLoad,BothApps,WritesAvg,RF,0.04179388305404274,
8,PeriodicLoad,BothApps,WritesAvg,RT,0.05953330222164826,
8,PeriodicLoad,BothApps,WritesAvg,RF,0.03913518286279155,
16,PeriodicLoad,BothApps,WritesAvg,RT,0.05610395394877028,
16,PeriodicLoad,BothApps,WritesAvg,RF,0.040204893423534886,
32,PeriodicLoad,BothApps,WritesAvg,RT,0.044907064924300646,
32,PeriodicLoad,BothApps,WritesAvg,RF,0.04100836212926147,
64,PeriodicLoad,BothApps,WritesAvg,RT,0.06676774805623134,
64,PeriodicLoad,BothApps,WritesAvg,RF,0.05651095585722527,
128,PeriodicLoad,BothApps,WritesAvg,RT,0.03524326129044719,
128,PeriodicLoad,BothApps,WritesAvg,RF,0.030962651774044683,
256,PeriodicLoad,BothApps,WritesAvg,RT,0.051481283456339136,
256,PeriodicLoad,BothApps,WritesAvg,RF,0.048490280072636435,
2,FlashcrowdLoad,SingleApp,ReadsAvg,RT,0.027637206870955423,
2,FlashcrowdLoad,SingleApp,ReadsAvg,RF,0.01961471196124102,
4,FlashcrowdLoad,SingleApp,ReadsAvg,RT,0.026851721759999995,
4,FlashcrowdLoad,SingleApp,ReadsAvg,RF,0.01907824892411874,
8,FlashcrowdLoad,SingleApp,ReadsAvg,RT,0.02651531005959718,
8,FlashcrowdLoad,SingleApp,ReadsAvg,RF,0.019127956764007876,
16,FlashcrowdLoad,SingleApp,ReadsAvg,RT,0.02614879350035014,
16,FlashcrowdLoad,SingleApp,ReadsAvg,RF,0.0188302819243455,
32,FlashcrowdLoad,SingleApp,ReadsAvg,RT,0.04553178776995792,
32,FlashcrowdLoad,SingleApp,ReadsAvg,RF,0.034229843669087975,
64,FlashcrowdLoad,SingleApp,ReadsAvg,RT,0.026912130551610902,
64,FlashcrowdLoad,SingleApp,ReadsAvg,RF,0.019953005529394528,
128,FlashcrowdLoad,SingleApp,ReadsAvg,RT,0.028615300769904997,
128,FlashcrowdLoad,SingleApp,ReadsAvg,RF,0.02071774824794299,
256,FlashcrowdLoad,SingleApp,ReadsAvg,RT,0.020649376730943476,
256,FlashcrowdLoad,SingleApp,ReadsAvg,RF,0.01602851241220437,
