período,função,Features,
32,máximo,[['2_file.nr', '2_ldavg.1', '3_cpu17_.idle', '3_cpu18_.idle', '3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_ldavg.1', '4_file.nr', '4_ldavg.1']],
32,mínimo,[['2_runq.sz', '2_ldavg.1', '3_all_..usr', '3_runq.sz', '3_ldavg.1', '4_runq.sz', '4_ldavg.1', '5_sum_intr.s', '5_i136_intr.s', '5_i138_intr.s', '5_i140_intr.s', '5_i142_intr.s']],
64,média,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '3_plist.sz', '4_file.nr', '4_runq.sz', '4_plist.sz']],
64,máximo,[['3_cpu0_.idle', '3_cpu2_.idle', '3_cpu3_.idle', '3_cpu6_.idle', '3_cpu7_.idle', '3_cpu9_.idle', '3_cpu13_.idle', '3_cpu15_.idle', '3_cpu19_.idle', '3_cpu22_.idle', '3_ldavg.1', '4_ldavg.1']],
64,mínimo,[['2_ldavg.1', '3_all_..usr', '3_cpu3_.usr', '3_cpu12_.usr', '3_cpu13_.usr', '3_cpu14_.usr', '3_cpu16_.usr', '3_cpu19_.usr', '3_cpu22_.usr', '3_cpu23_.usr', '3_ldavg.1', '4_ldavg.1']],
128,média,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '3_plist.sz', '4_file.nr', '4_runq.sz', '5_orsts.s']],
128,máximo,[['2_kbcommit', '2_X..commit', '2_file.nr', '3_X..commit', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_ldavg.1', '4_file.nr', '4_ldavg.1', '4_tcp6sck', '5_tcpsck']],
128,mínimo,[['2_all_..idle', '2_cpu13_.idle', '2_cpu21_.idle', '4_all_..idle', '4_cpu2_.idle', '4_cpu4_.idle', '4_cpu6_.idle', '4_cpu13_.idle', '4_cpu17_.idle', '4_cpu19_.idle', '4_cpu21_.idle', '4_cpu23_.idle']],
256,média,[['3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_estres.s', '4_sum_intr.s', '4_kbcommit', '4_X..commit', '4_file.nr', '4_runq.sz', '5_orsts.s']],
256,máximo,[['2_all_..usr', '2_cpu0_.usr', '2_cpu2_.usr', '2_cpu8_.usr', '2_cpu10_.usr', '2_cpu12_.usr', '2_cpu14_.usr', '2_cpu16_.usr', '2_cpu18_.usr', '2_cpu19_.usr', '2_cpu20_.usr', '2_cpu22_.usr']],
256,mínimo,[['3_cpu3_.idle', '3_cpu11_.idle', '3_cpu14_.idle', '4_all_..idle', '4_cpu2_.idle', '4_cpu4_.idle', '4_cpu6_.idle', '4_cpu13_.idle', '4_cpu15_.idle', '4_cpu17_.idle', '4_cpu21_.idle', '4_cpu23_.idle']],
2,média,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '2_ldavg.1', '3_file.nr', '3_plist.sz', '3_ldavg.1', '4_X..commit', '4_file.nr', '4_plist.sz', '5_tcpsck']],
2,máximo,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '2_ldavg.1', '3_file.nr', '3_ldavg.1', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz', '5_tcpsck']],
