,k_best,LoadPattern,ExpType,RegressionMethod,ReadsAvgNmae,ReadsAvgTrainingTime,DispFramesNmae,DispFramesTrainingTime
21,11,BothApps,FlashcrowdLoad,RandomForest,0.038424794481141236,1.6903784275054932,0.09814935910815448,1.2465178966522217
22,12,BothApps,FlashcrowdLoad,RegTree,0.05109702415154629,0.18033385276794434,0.10117638699535039,0.13791275024414062
23,12,BothApps,FlashcrowdLoad,RandomForest,0.03838187280293081,2.173691511154175,0.09811536793364745,1.4177663326263428
24,13,BothApps,FlashcrowdLoad,RegTree,0.05037924330772444,0.1877908706665039,0.10234655676988734,0.12765121459960938
25,13,BothApps,FlashcrowdLoad,RandomForest,0.037410594760326966,2.1051056385040283,0.09790614735109385,1.500610113143921
26,14,BothApps,FlashcrowdLoad,RegTree,0.05010148390072555,0.176116943359375,0.10173149599655389,0.13738083839416504
27,14,BothApps,FlashcrowdLoad,RandomForest,0.03715937435949467,2.2887346744537354,0.09751005857510178,1.5351524353027344
28,15,BothApps,FlashcrowdLoad,RegTree,0.0510241051130397,0.22075390815734863,0.10323251073580807,0.15525341033935547
29,15,BothApps,FlashcrowdLoad,RandomForest,0.03729169312632953,2.2727906703948975,0.09863485744060703,1.762861967086792
30,16,BothApps,FlashcrowdLoad,RegTree,0.05177946561063072,0.19991374015808105,0.10497999387159662,0.16861534118652344
31,16,BothApps,FlashcrowdLoad,RandomForest,0.03706277039864733,2.277329921722412,0.09875816565340771,1.6815707683563232
32,1,BothApps,PeriodicLoad,RegTree,0.049515038131006064,0.006281137466430664,0.14384716746820017,0.006006956100463867
33,1,BothApps,PeriodicLoad,RandomForest,0.04922596630951333,0.30668210983276367,0.14397137967097112,0.38712096214294434
34,2,BothApps,PeriodicLoad,RegTree,0.06266318159305836,0.02398848533630371,0.12273804472560004,0.023749113082885742
35,2,BothApps,PeriodicLoad,RandomForest,0.053868151104079644,0.4752635955810547,0.12222475699120997,0.5284311771392822
36,3,BothApps,PeriodicLoad,RegTree,0.0658839292130168,0.04102969169616699,0.12256747895350968,0.027396678924560547
37,3,BothApps,PeriodicLoad,RandomForest,0.05108771771202132,0.5985143184661865,0.12311731732532412,0.5290341377258301
38,4,BothApps,PeriodicLoad,RegTree,0.06430616680581637,0.04665994644165039,0.1286869529439371,0.03434348106384277
39,4,BothApps,PeriodicLoad,RandomForest,0.04884560833055614,0.6800985336303711,0.12478967273056416,0.630969762802124
40,5,BothApps,PeriodicLoad,RegTree,0.06075737938644762,0.06473445892333984,0.12766596913502862,0.044161081314086914
41,5,BothApps,PeriodicLoad,RandomForest,0.045202902024114006,0.9018685817718506,0.1250265053157258,0.6010818481445312
42,6,BothApps,PeriodicLoad,RegTree,0.061211423989002554,0.09504437446594238,0.12625603911320266,0.053806304931640625
43,6,BothApps,PeriodicLoad,RandomForest,0.04504020520830323,1.0182595252990723,0.12576777857424248,0.6913151741027832
44,7,BothApps,PeriodicLoad,RegTree,0.0612256201724904,0.11185002326965332,0.12030251014956748,0.06572985649108887
45,7,BothApps,PeriodicLoad,RandomForest,0.04508277919611283,1.3589518070220947,0.11927077964786262,0.7784061431884766
46,8,BothApps,PeriodicLoad,RegTree,0.05768225540177105,0.11380720138549805,0.12034590497497566,0.06849336624145508
47,8,BothApps,PeriodicLoad,RandomForest,0.04252616143972229,1.5991766452789307,0.1205936807223042,0.8659772872924805
48,9,BothApps,PeriodicLoad,RegTree,0.05799745788124127,0.13153910636901855,0.12115594171592782,0.09297990798950195
49,9,BothApps,PeriodicLoad,RandomForest,0.042629936201788766,1.6281967163085938,0.12110593721572371,0.972909688949585
