,random_state,load_pattern,exp_type,regression_method,trace_family,y_metric,nmae,training_time
110,1,PeriodicLoad,BothApps,reg_tree,VoD,noAudioPlayed,0.4466867385939398,0.7627243995666504
111,1,PeriodicLoad,BothApps,random_forest,VoD,noAudioPlayed,0.33920970841584197,0.7627243995666504
112,2,PeriodicLoad,BothApps,reg_tree,VoD,noAudioPlayed,0.4464692710988131,0.8029804229736328
113,2,PeriodicLoad,BothApps,random_forest,VoD,noAudioPlayed,0.3400856289054126,0.8029804229736328
114,3,PeriodicLoad,BothApps,reg_tree,VoD,noAudioPlayed,0.4471864762299615,0.9287374019622803
115,3,PeriodicLoad,BothApps,random_forest,VoD,noAudioPlayed,0.3416797054300601,0.9287374019622803
116,4,PeriodicLoad,BothApps,reg_tree,VoD,noAudioPlayed,0.4380908042757954,0.9042022228240967
117,4,PeriodicLoad,BothApps,random_forest,VoD,noAudioPlayed,0.33582616143547356,0.9042022228240967
118,5,PeriodicLoad,BothApps,reg_tree,VoD,noAudioPlayed,0.4482818337949873,0.8136262893676758
119,5,PeriodicLoad,BothApps,random_forest,VoD,noAudioPlayed,0.33940663687803246,0.8136262893676758
120,6,PeriodicLoad,BothApps,reg_tree,VoD,noAudioPlayed,0.43798601258294273,0.923872709274292
121,6,PeriodicLoad,BothApps,random_forest,VoD,noAudioPlayed,0.3316617670080615,0.923872709274292
122,7,PeriodicLoad,BothApps,reg_tree,VoD,noAudioPlayed,0.44834305729195584,0.7423841953277588
123,7,PeriodicLoad,BothApps,random_forest,VoD,noAudioPlayed,0.34166588224620614,0.7423841953277588
124,8,PeriodicLoad,BothApps,reg_tree,VoD,noAudioPlayed,0.4358484906114774,0.91074538230896
125,8,PeriodicLoad,BothApps,random_forest,VoD,noAudioPlayed,0.3355865023945197,0.91074538230896
126,9,PeriodicLoad,BothApps,reg_tree,VoD,noAudioPlayed,0.44522220778298793,1.0857548713684082
127,9,PeriodicLoad,BothApps,random_forest,VoD,noAudioPlayed,0.33904438380498186,1.0857548713684082
128,10,PeriodicLoad,BothApps,reg_tree,VoD,noAudioPlayed,0.4373022741391631,0.7747864723205566
129,10,PeriodicLoad,BothApps,random_forest,VoD,noAudioPlayed,0.3365371563150229,0.7747864723205566
130,11,PeriodicLoad,BothApps,reg_tree,VoD,noAudioPlayed,0.4364837528342454,0.8087446689605713
131,11,PeriodicLoad,BothApps,random_forest,VoD,noAudioPlayed,0.337517398041592,0.8087446689605713
132,12,PeriodicLoad,BothApps,reg_tree,VoD,noAudioPlayed,0.4404777339668545,0.883366584777832
133,12,PeriodicLoad,BothApps,random_forest,VoD,noAudioPlayed,0.3285945502784412,0.883366584777832
134,13,PeriodicLoad,BothApps,reg_tree,VoD,noAudioPlayed,0.44823091499016354,0.7429711818695068
135,13,PeriodicLoad,BothApps,random_forest,VoD,noAudioPlayed,0.3398298410560419,0.7429711818695068
136,14,PeriodicLoad,BothApps,reg_tree,VoD,noAudioPlayed,0.4378323349865098,0.7541499137878418
137,14,PeriodicLoad,BothApps,random_forest,VoD,noAudioPlayed,0.3331643087570112,0.7541499137878418
138,15,PeriodicLoad,BothApps,reg_tree,VoD,noAudioPlayed,0.4416831660708225,0.8019399642944336
139,15,PeriodicLoad,BothApps,random_forest,VoD,noAudioPlayed,0.33960373858321957,0.8019399642944336
140,16,PeriodicLoad,BothApps,reg_tree,VoD,noAudioPlayed,0.45016891659157726,0.7822070121765137
141,16,PeriodicLoad,BothApps,random_forest,VoD,noAudioPlayed,0.3476819004448494,0.7822070121765137
142,17,PeriodicLoad,BothApps,reg_tree,VoD,noAudioPlayed,0.4324524479597573,1.0032048225402832
143,17,PeriodicLoad,BothApps,random_forest,VoD,noAudioPlayed,0.33153451914659343,1.0032048225402832
144,0,FlashcrowdLoad,SingleApp,reg_tree,VoD,DispFrames,0.11760621708502302,0.8999743461608887
145,0,FlashcrowdLoad,SingleApp,random_forest,VoD,DispFrames,0.11052283170453567,0.8999743461608887
146,1,FlashcrowdLoad,SingleApp,reg_tree,VoD,DispFrames,0.11563150255256083,0.8375198841094971
147,1,FlashcrowdLoad,SingleApp,random_forest,VoD,DispFrames,0.10950037595735022,0.8375198841094971
148,2,FlashcrowdLoad,SingleApp,reg_tree,VoD,DispFrames,0.11849343617552503,0.8218681812286377
149,2,FlashcrowdLoad,SingleApp,random_forest,VoD,DispFrames,0.10920941096845815,0.8218681812286377
150,3,FlashcrowdLoad,SingleApp,reg_tree,VoD,DispFrames,0.11786345263314187,0.9734463691711426
151,3,FlashcrowdLoad,SingleApp,random_forest,VoD,DispFrames,0.10858287782290424,0.9734463691711426
152,4,FlashcrowdLoad,SingleApp,reg_tree,VoD,DispFrames,0.11628818348699543,0.7947778701782227
153,4,FlashcrowdLoad,SingleApp,random_forest,VoD,DispFrames,0.10905485771645042,0.7947778701782227
154,5,FlashcrowdLoad,SingleApp,reg_tree,VoD,DispFrames,0.11463007233166099,0.8520724773406982
155,5,FlashcrowdLoad,SingleApp,random_forest,VoD,DispFrames,0.10873730702568156,0.8520724773406982
156,6,FlashcrowdLoad,SingleApp,reg_tree,VoD,DispFrames,0.11584064656465647,0.7934048175811768
157,6,FlashcrowdLoad,SingleApp,random_forest,VoD,DispFrames,0.10826102733355035,0.7934048175811768
158,7,FlashcrowdLoad,SingleApp,reg_tree,VoD,DispFrames,0.11666984017915169,0.8236792087554932
