período,carga,apps,feature,método,switch,nmae,
256,FlashcrowdLoad,BothApps,DispFrames,RF,SWA3,0.10948387096774229,
2,FlashcrowdLoad,BothApps,DispFrames,RT,SWA4,0.14555935434086484,
2,FlashcrowdLoad,BothApps,DispFrames,RF,SWA4,0.14548333678077205,
4,FlashcrowdLoad,BothApps,DispFrames,RT,SWA4,0.1426020511221441,
4,FlashcrowdLoad,BothApps,DispFrames,RF,SWA4,0.1429654282365084,
8,FlashcrowdLoad,BothApps,DispFrames,RT,SWA4,0.14171932634078543,
8,FlashcrowdLoad,BothApps,DispFrames,RF,SWA4,0.14207915936805104,
16,FlashcrowdLoad,BothApps,DispFrames,RT,SWA4,0.1483836172617347,
16,FlashcrowdLoad,BothApps,DispFrames,RF,SWA4,0.14855729972325216,
32,FlashcrowdLoad,BothApps,DispFrames,RT,SWA4,0.14251710341581386,
32,FlashcrowdLoad,BothApps,DispFrames,RF,SWA4,0.1419733402888941,
64,FlashcrowdLoad,BothApps,DispFrames,RT,SWA4,0.13108903044001521,
64,FlashcrowdLoad,BothApps,DispFrames,RF,SWA4,0.13068094406337954,
128,FlashcrowdLoad,BothApps,DispFrames,RT,SWA4,0.12875584955024205,
128,FlashcrowdLoad,BothApps,DispFrames,RF,SWA4,0.12932936673735787,
256,FlashcrowdLoad,BothApps,DispFrames,RT,SWA4,0.09955501265160108,
256,FlashcrowdLoad,BothApps,DispFrames,RF,SWA4,0.1006527785616222,
2,FlashcrowdLoad,BothApps,DispFrames,RT,SWA5,0.13804512852730225,
2,FlashcrowdLoad,BothApps,DispFrames,RF,SWA5,0.13750847707632693,
4,FlashcrowdLoad,BothApps,DispFrames,RT,SWA5,0.13664807930607187,
4,FlashcrowdLoad,BothApps,DispFrames,RF,SWA5,0.13458475893799624,
8,FlashcrowdLoad,BothApps,DispFrames,RT,SWA5,0.14889236597216504,
8,FlashcrowdLoad,BothApps,DispFrames,RF,SWA5,0.1427164655906009,
16,FlashcrowdLoad,BothApps,DispFrames,RT,SWA5,0.13648535564853556,
16,FlashcrowdLoad,BothApps,DispFrames,RF,SWA5,0.1353430962343096,
32,FlashcrowdLoad,BothApps,DispFrames,RT,SWA5,0.12157368590777168,
32,FlashcrowdLoad,BothApps,DispFrames,RF,SWA5,0.12075271417822206,
64,FlashcrowdLoad,BothApps,DispFrames,RT,SWA5,0.12370129870129869,
64,FlashcrowdLoad,BothApps,DispFrames,RF,SWA5,0.1250108225108225,
128,FlashcrowdLoad,BothApps,DispFrames,RT,SWA5,0.1733812949640288,
128,FlashcrowdLoad,BothApps,DispFrames,RF,SWA5,0.1673621103117506,
256,FlashcrowdLoad,BothApps,DispFrames,RT,SWA5,0.11023622047244096,
