período,Features,
32,[['2_blocked', '2_dev8.0_avgqu.sz', '2_dev8.5_avgqu.sz', '2_irec.s', '2_idel.s', '2_iseg.s', '3_dev252.0_avgqu.sz', '4_blocked', '4_eth1_rxpck.s', '4_irec.s', '4_idel.s', '4_iseg.s']],
64,[['0_i127_intr.s', '2_irec.s', '2_idel.s', '2_iseg.s', '3_i130_intr.s', '3_i132_intr.s', '4_i127_intr.s', '4_i132_intr.s', '4_irec.s', '4_idel.s', '4_iseg.s', '5_all_..soft']],
128,[['0_i127_intr.s', '0_i131_intr.s', '0_eth1_rxkB.s', '2_irec.s', '2_idel.s', '2_iseg.s', '4_i132_intr.s', '4_eth1_rxpck.s', '4_irec.s', '4_idel.s', '4_iseg.s', '5_all_..soft']],
256,[['3_i130_intr.s', '3_i132_intr.s', '4_i127_intr.s', '4_i128_intr.s', '4_i131_intr.s', '4_i132_intr.s', '4_eth1_rxpck.s', '4_irec.s', '4_idel.s', '4_orq.s', '4_iseg.s', '5_all_..soft']],
2,[['0_i127_intr.s', '0_i128_intr.s', '0_i130_intr.s', '0_i131_intr.s', '1_i129_intr.s', '1_i132_intr.s', '2_irec.s', '2_idel.s', '2_iseg.s', '4_irec.s', '4_idel.s', '4_iseg.s']],
4,[['0_i127_intr.s', '0_i128_intr.s', '0_i131_intr.s', '1_i129_intr.s', '1_i130_intr.s', '1_i132_intr.s', '2_irec.s', '2_idel.s', '2_iseg.s', '4_irec.s', '4_idel.s', '4_iseg.s']],
8,[['0_i127_intr.s', '0_i128_intr.s', '0_i131_intr.s', '1_i129_intr.s', '1_i130_intr.s', '1_i132_intr.s', '2_irec.s', '2_idel.s', '2_iseg.s', '4_irec.s', '4_idel.s', '4_iseg.s']],
16,[['0_i127_intr.s', '0_i128_intr.s', '0_i131_intr.s', '1_i129_intr.s', '1_i132_intr.s', '2_irec.s', '2_idel.s', '2_iseg.s', '2_retrans.s_2', '4_irec.s', '4_idel.s', '4_iseg.s']],
32,[['0_i127_intr.s', '0_i128_intr.s', '0_i130_intr.s', '0_i131_intr.s', '1_i129_intr.s', '1_i130_intr.s', '1_i132_intr.s', '1_i133_intr.s', '2_irec.s', '2_idel.s', '2_iseg.s', '2_retrans.s_2']],
64,[['0_i127_intr.s', '0_i128_intr.s', '0_i131_intr.s', '1_i129_intr.s', '2_irec.s', '2_idel.s', '2_passive.s', '2_iseg.s', '2_retrans.s_2', '3_cpu8_.nice', '3_passive.s', '3_retrans.s_2']],
128,[['0_i127_intr.s', '0_i128_intr.s', '0_i131_intr.s', '1_cpu17_.iowait', '1_i129_intr.s', '1_i130_intr.s', '1_i132_intr.s', '1_i133_intr.s', '1_eth1_rxkB.s', '1_irec.s', '1_idel.s', '1_iseg.s']],
256,[['0_i127_intr.s', '0_i128_intr.s', '0_i131_intr.s', '0_eth1_rxkB.s', '1_cpu14_.iowait', '1_i129_intr.s', '1_i130_intr.s', '1_i132_intr.s', '1_i133_intr.s', '1_eth1_rxkB.s', '2_iseg.s', '4_cpu15_.soft']],
2,[['0_i127_intr.s', '0_i128_intr.s', '0_i130_intr.s', '0_i131_intr.s', '1_i129_intr.s', '1_i132_intr.s', '2_irec.s', '2_idel.s', '2_iseg.s', '4_irec.s', '4_idel.s', '4_iseg.s']],
4,[['0_i127_intr.s', '0_i128_intr.s', '0_i130_intr.s', '0_i131_intr.s', '1_i129_intr.s', '1_i130_intr.s', '1_i132_intr.s', '2_irec.s', '2_idel.s', '2_iseg.s', '4_irec.s', '4_idel.s']],
8,[['0_i127_intr.s', '0_i128_intr.s', '0_i131_intr.s', '1_i129_intr.s', '1_i130_intr.s', '1_i132_intr.s', '2_irec.s', '2_idel.s', '2_iseg.s', '4_irec.s', '4_idel.s', '4_iseg.s']],
16,[['0_i127_intr.s', '0_i128_intr.s', '0_i131_intr.s', '1_i129_intr.s', '1_i132_intr.s', '2_irec.s', '2_idel.s', '2_iseg.s', '2_retrans.s_2', '4_irec.s', '4_idel.s', '4_iseg.s']],
32,[['0_i127_intr.s', '0_i128_intr.s', '0_i130_intr.s', '0_i131_intr.s', '1_i129_intr.s', '1_i130_intr.s', '1_i132_intr.s', '1_i133_intr.s', '2_irec.s', '2_idel.s', '2_iseg.s', '2_retrans.s_2']],
64,[['2_irec.s', '2_idel.s', '2_passive.s', '2_iseg.s', '2_retrans.s_2', '3_cpu8_.nice', '3_passive.s', '3_retrans.s_2', '4_cpu15_.iowait', '4_pgpgout.s', '4_dev8.5_avgrq.sz', '4_passive.s']],
128,[['0_i127_intr.s', '0_i128_intr.s', '0_i130_intr.s', '0_i131_intr.s', '1_i129_intr.s', '1_i130_intr.s', '1_i132_intr.s', '1_i133_intr.s', '1_eth1_rxkB.s', '1_irec.s', '1_idel.s', '1_orq.s']],
256,[['0_i127_intr.s', '0_i128_intr.s', '0_i131_intr.s', '1_cpu14_.iowait', '1_i129_intr.s', '1_i130_intr.s', '1_i132_intr.s', '1_i133_intr.s', '1_eth1_rxkB.s', '4_cpu15_.soft', '4_dev8.0_avgrq.sz', '4_dev8.5_avgrq.sz']],
2,[['0_i132_intr.s', '0_i133_intr.s', '0_irec.s', '0_idel.s', '0_orq.s', '0_iseg.s', '0_oseg.s', '1_i127_intr.s', '1_i128_intr.s', '1_irec.s', '1_idel.s', '1_iseg.s']],
4,[['0_i132_intr.s', '0_i133_intr.s', '0_irec.s', '0_idel.s', '0_iseg.s', '1_i127_intr.s', '1_i128_intr.s', '1_irec.s', '1_idel.s', '1_iseg.s', '1_oseg.s', '2_i138_intr.s']],
8,[['0_i133_intr.s', '0_irec.s', '1_i127_intr.s', '1_i128_intr.s', '1_irec.s', '1_idel.s', '1_iseg.s', '2_i138_intr.s', '2_eth1_txpck.s', '2_irec.s', '2_idel.s', '2_iseg.s']],
16,[['1_irec.s', '1_idel.s', '1_iseg.s', '1_oseg.s', '2_cpu14_.iowait', '2_pgfree.s', '2_frmpg.s', '2_campg.s', '2_eth1_txpck.s', '3_passive.s', '4_passive.s', '5_passive.s']],
32,[['2_cpu14_.iowait', '2_cpu14_.idle', '2_cpu22_.sys', '2_cpu22_.iowait', '2_cpu22_.idle', '2_pgfree.s', '2_frmpg.s', '2_bufpg.s', '2_campg.s', '3_passive.s', '4_passive.s', '5_passive.s']],
64,[['0_i133_intr.s', '0_irec.s', '0_idel.s', '0_iseg.s', '1_i127_intr.s', '1_irec.s', '1_idel.s', '1_iseg.s', '2_i138_intr.s', '2_i141_intr.s', '3_i128_intr.s', '3_i131_intr.s']],
128,[['0_i133_intr.s', '0_irec.s', '0_idel.s', '0_iseg.s', '1_i127_intr.s', '1_i133_intr.s', '1_irec.s', '1_idel.s', '1_iseg.s', '1_oseg.s', '2_i138_intr.s', '2_i141_intr.s']],
256,[['2_i138_intr.s', '2_i141_intr.s', '3_i127_intr.s', '3_i128_intr.s', '3_eth1_txpck.s', '3_eth1_txkB.s', '3_eth1_.ifutil', '3_irec.s', '3_idel.s', '3_orq.s', '3_iseg.s', '3_oseg.s']],
2,[['0_i132_intr.s', '0_i133_intr.s', '0_dev8.0_await', '0_dev8.5_await', '0_dev252.0_await', '0_dev252.0_svctm', '0_irec.s', '0_idel.s', '0_orq.s', '0_iseg.s', '0_oseg.s', '1_i128_intr.s']],
4,[['0_i133_intr.s', '0_irec.s', '0_idel.s', '0_iseg.s', '1_i127_intr.s', '1_i128_intr.s', '1_irec.s', '1_idel.s', '1_iseg.s', '2_i138_intr.s', '2_irec.s', '2_idel.s']],
8,[['0_i133_intr.s', '0_irec.s', '0_idel.s', '0_iseg.s', '1_i127_intr.s', '1_i128_intr.s', '2_i138_intr.s', '2_eth1_txpck.s', '2_irec.s', '2_idel.s', '2_orq.s', '2_iseg.s']],
16,[['0_i133_intr.s', '1_i127_intr.s', '1_i128_intr.s', '1_eth1_rxpck.s', '1_eth1_txpck.s', '1_irec.s', '1_idel.s', '1_orq.s', '1_iseg.s', '1_oseg.s', '2_i138_intr.s', '2_eth1_txpck.s']],
32,[['0_i133_intr.s', '1_i128_intr.s', '1_eth1_txpck.s', '1_irec.s', '1_idel.s', '1_orq.s', '1_iseg.s', '1_oseg.s', '2_i138_intr.s', '2_eth1_txpck.s', '2_orq.s', '2_oseg.s']],
