período,carga,apps,feature,método,nmae
4,FlashcrowdLoad,BothApps,WritesAvg,RF,0.03901413412922065,
8,FlashcrowdLoad,BothApps,WritesAvg,RT,0.04873457351328499,
8,FlashcrowdLoad,BothApps,WritesAvg,RF,0.0358649986970476,
16,FlashcrowdLoad,BothApps,WritesAvg,RT,0.04710919482716291,
16,FlashcrowdLoad,BothApps,WritesAvg,RF,0.037081743797498616,
32,FlashcrowdLoad,BothApps,WritesAvg,RT,0.054983092985568395,
32,FlashcrowdLoad,BothApps,WritesAvg,RF,0.04052314041607356,
64,FlashcrowdLoad,BothApps,WritesAvg,RT,0.052236863879475195,
64,FlashcrowdLoad,BothApps,WritesAvg,RF,0.03750860587246969,
128,FlashcrowdLoad,BothApps,WritesAvg,RT,0.05154561824495426,
128,FlashcrowdLoad,BothApps,WritesAvg,RF,0.04672977347294692,
256,FlashcrowdLoad,BothApps,WritesAvg,RT,0.06096406755222587,
256,FlashcrowdLoad,BothApps,WritesAvg,RF,0.05326678231315465,
2,PeriodicLoad,BothApps,ReadsAvg,RT,0.059253942645466066,
2,PeriodicLoad,BothApps,ReadsAvg,RF,0.04337320406074865,
4,PeriodicLoad,BothApps,ReadsAvg,RT,0.05964612805234432,
4,PeriodicLoad,BothApps,ReadsAvg,RF,0.043415994961112044,
8,PeriodicLoad,BothApps,ReadsAvg,RT,0.05649560848203286,
8,PeriodicLoad,BothApps,ReadsAvg,RF,0.04351861679573239,
16,PeriodicLoad,BothApps,ReadsAvg,RT,0.058125629911478856,
16,PeriodicLoad,BothApps,ReadsAvg,RF,0.043566760094047766,
32,PeriodicLoad,BothApps,ReadsAvg,RT,0.05359241146425424,
32,PeriodicLoad,BothApps,ReadsAvg,RF,0.042740847131257316,
64,PeriodicLoad,BothApps,ReadsAvg,RT,0.0688381064159749,
64,PeriodicLoad,BothApps,ReadsAvg,RF,0.04316150007955794,
128,PeriodicLoad,BothApps,ReadsAvg,RT,0.04849621586048042,
128,PeriodicLoad,BothApps,ReadsAvg,RF,0.042016137012764514,
256,PeriodicLoad,BothApps,ReadsAvg,RT,0.03781963753935972,
256,PeriodicLoad,BothApps,ReadsAvg,RF,0.03015187383702652,
2,PeriodicLoad,BothApps,WritesAvg,RT,0.06160130497601632,
2,PeriodicLoad,BothApps,WritesAvg,RF,0.043417449261462515,
4,PeriodicLoad,BothApps,WritesAvg,RT,0.063966403369766,
4,PeriodicLoad,BothApps,WritesAvg,RF,0.04700626271919837,
8,PeriodicLoad,BothApps,WritesAvg,RT,0.059979479575365764,
8,PeriodicLoad,BothApps,WritesAvg,RF,0.04187739721013202,
16,PeriodicLoad,BothApps,WritesAvg,RT,0.0616159897655701,
16,PeriodicLoad,BothApps,WritesAvg,RF,0.04458822982824867,
32,PeriodicLoad,BothApps,WritesAvg,RT,0.06683291902798727,
32,PeriodicLoad,BothApps,WritesAvg,RF,0.045043802340328315,
64,PeriodicLoad,BothApps,WritesAvg,RT,0.06722537405143994,
64,PeriodicLoad,BothApps,WritesAvg,RF,0.05662602826126033,
128,PeriodicLoad,BothApps,WritesAvg,RT,0.05054204016681047,
128,PeriodicLoad,BothApps,WritesAvg,RF,0.027824388838450946,
256,PeriodicLoad,BothApps,WritesAvg,RT,0.04349638352470953,
256,PeriodicLoad,BothApps,WritesAvg,RF,0.030297004985633157,
2,FlashcrowdLoad,SingleApp,ReadsAvg,RT,0.02699289325299359,
2,FlashcrowdLoad,SingleApp,ReadsAvg,RF,0.019434691154931533,
4,FlashcrowdLoad,SingleApp,ReadsAvg,RT,0.02762873733560109,
4,FlashcrowdLoad,SingleApp,ReadsAvg,RF,0.020204099635809547,
8,FlashcrowdLoad,SingleApp,ReadsAvg,RT,0.02704531525251721,
8,FlashcrowdLoad,SingleApp,ReadsAvg,RF,0.020312378916449894,
16,FlashcrowdLoad,SingleApp,ReadsAvg,RT,0.027447334406494522,
16,FlashcrowdLoad,SingleApp,ReadsAvg,RF,0.020231693292157082,
32,FlashcrowdLoad,SingleApp,ReadsAvg,RT,0.057774593137840356,
32,FlashcrowdLoad,SingleApp,ReadsAvg,RF,0.042635759336287035,
64,FlashcrowdLoad,SingleApp,ReadsAvg,RT,0.026606101551684583,
64,FlashcrowdLoad,SingleApp,ReadsAvg,RF,0.020776072050422822,
128,FlashcrowdLoad,SingleApp,ReadsAvg,RT,0.031167105643903344,
128,FlashcrowdLoad,SingleApp,ReadsAvg,RF,0.02004901501858203,
256,FlashcrowdLoad,SingleApp,ReadsAvg,RT,0.03197808854396726,
256,FlashcrowdLoad,SingleApp,ReadsAvg,RF,0.020792803796671273,
2,FlashcrowdLoad,SingleApp,WritesAvg,RT,0.029105925341108348,
2,FlashcrowdLoad,SingleApp,WritesAvg,RF,0.02115802427156397,
4,FlashcrowdLoad,SingleApp,WritesAvg,RT,0.029634428223290942,
4,FlashcrowdLoad,SingleApp,WritesAvg,RF,0.021217271764416387,
8,FlashcrowdLoad,SingleApp,WritesAvg,RT,0.03067992947994692,
8,FlashcrowdLoad,SingleApp,WritesAvg,RF,0.02223450687011935,
16,FlashcrowdLoad,SingleApp,WritesAvg,RT,0.036338895013537584,
16,FlashcrowdLoad,SingleApp,WritesAvg,RF,0.024792561472299864,
32,FlashcrowdLoad,SingleApp,WritesAvg,RT,0.034138992457699614,
32,FlashcrowdLoad,SingleApp,WritesAvg,RF,0.025277156710879416,
64,FlashcrowdLoad,SingleApp,WritesAvg,RT,0.02830451671514034,
64,FlashcrowdLoad,SingleApp,WritesAvg,RF,0.020587464246013137,
128,FlashcrowdLoad,SingleApp,WritesAvg,RT,0.03285362749774227,
128,FlashcrowdLoad,SingleApp,WritesAvg,RF,0.026429899729300054,
256,FlashcrowdLoad,SingleApp,WritesAvg,RT,0.029189195648103263,
256,FlashcrowdLoad,SingleApp,WritesAvg,RF,0.025970549373787365,
2,PeriodicLoad,SingleApp,ReadsAvg,RT,0.03314516919552183,
2,PeriodicLoad,SingleApp,ReadsAvg,RF,0.022857936243010194,
4,PeriodicLoad,SingleApp,ReadsAvg,RT,0.032696991836902715,
4,PeriodicLoad,SingleApp,ReadsAvg,RF,0.023996930501088275,
8,PeriodicLoad,SingleApp,ReadsAvg,RT,0.0355723112855858,
8,PeriodicLoad,SingleApp,ReadsAvg,RF,0.02533708011387763,
16,PeriodicLoad,SingleApp,ReadsAvg,RT,0.03438877118548652,
16,PeriodicLoad,SingleApp,ReadsAvg,RF,0.023222703021069588,
32,PeriodicLoad,SingleApp,ReadsAvg,RT,0.03336425082725222,
32,PeriodicLoad,SingleApp,ReadsAvg,RF,0.02410264949723631,
64,PeriodicLoad,SingleApp,ReadsAvg,RT,0.030847057944539565,
64,PeriodicLoad,SingleApp,ReadsAvg,RF,0.0229621701707321,
128,PeriodicLoad,SingleApp,ReadsAvg,RT,0.02659993820055885,
128,PeriodicLoad,SingleApp,ReadsAvg,RF,0.022899186374612104,
256,PeriodicLoad,SingleApp,ReadsAvg,RT,0.034938069591134754,
256,PeriodicLoad,SingleApp,ReadsAvg,RF,0.02471937243540118,
2,PeriodicLoad,SingleApp,WritesAvg,RT,0.03500068193018795,
