período,função,carga,apps,feature,método,nmae,
32,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11510107015457788,
32,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10357411811335711,
32,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.1019024970273484,
32,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10254359889021006,
16,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11368909512761022,
16,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10727041069268446,
16,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10785888512106612,
16,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10722033831082557,
16,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11809149860193945,
16,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10666061831955105,
8,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10546200987683703,
8,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.09995388826084368,
8,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.09951210805021718,
8,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10069241982507289,
8,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10998393526506813,
8,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10155788262826995,
4,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10315902195252545,
4,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.09601193309139945,
4,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.1075911713962758,
4,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.09458127590378172,
4,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10760604438098638,
4,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.0956295734427985,
2,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10270673884636923,
2,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.09665098624852218,
2,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.1003920104536121,
2,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.09669224068197373,
2,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10366249766660443,
2,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.09592956256611286,
256,média,PeriodicLoad,SingleApp,DispFrames,RT,0.10497237569060773,
256,média,PeriodicLoad,SingleApp,DispFrames,RF,0.10090546347452425,
256,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.12154696132596685,
256,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.11116482504604051,
256,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.13996316758747698,
256,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.10521792510742785,
128,média,PeriodicLoad,SingleApp,DispFrames,RT,0.10103383458646617,
128,média,PeriodicLoad,SingleApp,DispFrames,RF,0.11411340852130325,
128,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.1325187969924812,
128,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.11675673558897243,
128,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.09163533834586465,
128,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.10518092105263158,
64,média,PeriodicLoad,SingleApp,DispFrames,RT,0.11150568181818182,
64,média,PeriodicLoad,SingleApp,DispFrames,RF,0.10625394570707071,
64,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.11482007575757575,
64,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.10681226325757574,
64,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.12381628787878789,
64,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.10354521780303029,
32,média,PeriodicLoad,SingleApp,DispFrames,RT,0.11069197217965342,
32,média,PeriodicLoad,SingleApp,DispFrames,RF,0.10749243585209635,
32,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.11293174584463045,
32,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.10525364454398993,
32,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.11175291759990569,
32,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.1064344375024559,
16,média,PeriodicLoad,SingleApp,DispFrames,RT,0.10612292185599259,
16,média,PeriodicLoad,SingleApp,DispFrames,RF,0.10058699723879588,
16,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.10629670393326769,
16,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.1021109695109,
16,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.10647048601054278,
16,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.09920205062851185,
8,média,PeriodicLoad,SingleApp,DispFrames,RT,0.10060556416932392,
8,média,PeriodicLoad,SingleApp,DispFrames,RF,0.09748876147012649,
8,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.107158529093409,
8,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.09906215565241983,
8,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.10385279232366966,
8,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.09947683546402207,
4,média,PeriodicLoad,SingleApp,DispFrames,RT,0.11027550587443487,
4,média,PeriodicLoad,SingleApp,DispFrames,RF,0.09726761964680235,
4,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.10376461293107232,
4,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.09788688603742665,
4,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.10048721962924487,
4,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.09704498124765291,
2,média,PeriodicLoad,SingleApp,DispFrames,RT,0.10199003159822817,
2,média,PeriodicLoad,SingleApp,DispFrames,RF,0.09501215035794297,
2,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.09823911028730307,
2,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.0951306741198592,
2,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.09723205359293018,
2,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.09416107798851371,
