período,função,carga,apps,feature,método,nmae
2,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.13992546600499317,
256,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.03632161001029126,
256,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.027647514851539042,
256,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.0029013539651837525,
256,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.003933119185778765,
256,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.5925925925925927,
256,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.48106261022927677,
128,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.03908760211809567,
128,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.030918528710103702,
128,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.000968054211035818,
128,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.0013794772507260363,
128,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.40704845814977975,
128,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.29088839941262845,
64,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.04484480319547308,
64,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.036857611439349805,
64,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.0016940948693126817,
64,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.0018473701193933516,
64,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.2850299401197605,
64,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.23707584830339323,
32,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.059301293823899634,
32,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.04663096785731482,
32,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.0013318803729265045,
32,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.0011886023328086521,
32,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.2689465543907888,
32,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.20947327719539438,
16,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.06333072389212653,
16,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.05417120557564411,
16,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.0025507105550832015,
16,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.0024338029879752187,
16,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.20240259227060775,
16,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.1740660976316552,
8,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.08809306569343066,
8,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.07790087231807123,
8,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.03855578646980365,
8,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.03677042298665178,
8,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.18883330881271151,
8,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.15756798342405964,
4,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.09954870593282567,
4,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.0890023197230083,
4,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.07522666794142485,
4,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.07303833304120123,
4,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.14453671253215475,
4,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.1297419275014531,
2,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10041402744787543,
2,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.09229674578824668,
2,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.09020784055532527,
2,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.08599955023423042,
2,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11946195247302648,
2,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10732602878850021,
256,média,PeriodicLoad,SingleApp,DispFrames,RT,0.02430400019027761,
256,média,PeriodicLoad,SingleApp,DispFrames,RF,0.023946205613453682,
256,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.003777148253068933,
256,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.004107648725212466,
256,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.3853989813242784,
256,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.35913978494623655,
128,média,PeriodicLoad,SingleApp,DispFrames,RT,0.027649658883443833,
128,média,PeriodicLoad,SingleApp,DispFrames,RF,0.0202492246137749,
128,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.0033492822966507177,
128,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.0024003189792663458,
128,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.2038123167155425,
128,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.1790505865102639,
64,média,PeriodicLoad,SingleApp,DispFrames,RT,0.02794422491416726,
64,média,PeriodicLoad,SingleApp,DispFrames,RF,0.022597493036211704,
64,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.0011967448539971278,
64,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.0007978299026647499,
64,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.20878329733621312,
64,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.15343172546196304,
32,média,PeriodicLoad,SingleApp,DispFrames,RT,0.03367280814739554,
32,média,PeriodicLoad,SingleApp,DispFrames,RF,0.02779453373547631,
32,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.000478755236385398,
32,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.0004997007779772593,
32,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.19079593842122505,
32,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.1378152636750737,
16,média,PeriodicLoad,SingleApp,DispFrames,RT,0.04782057738859195,
16,média,PeriodicLoad,SingleApp,DispFrames,RF,0.03748710460903612,
16,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.0009598080383923216,
16,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.0008118376324735044,
16,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.17899686520376176,
16,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.13818051201671894,
8,média,PeriodicLoad,SingleApp,DispFrames,RT,0.07615140553321342,
8,média,PeriodicLoad,SingleApp,DispFrames,RF,0.059754461128064186,
8,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.019273311312464014,
8,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.017373001202056624,
8,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.16252252252252253,
