período,função,carga,apps,feature,método,nmae
64,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.1517386722866175,
64,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.13863935721812434,
32,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.13111934374173062,
32,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.11263561788833025,
32,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11868219105583488,
32,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.11262018170591867,
32,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11405133633236306,
32,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.11196745170680075,
16,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11776859504132231,
16,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10978461299209101,
16,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11436950146627566,
16,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.11319870256820404,
16,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10870434550786456,
16,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.11120312361148138,
8,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.12397189570776865,
8,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.1119865028359584,
8,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11777829576104692,
8,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.11215327494921913,
8,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11761180113882322,
8,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.11298241816789316,
4,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.1128143157476535,
4,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.1060833926512054,
4,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11322816136668376,
4,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10579356276934453,
4,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10942078167160522,
4,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.1061576089655515,
2,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10185131736280048,
2,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.09762689151857502,
2,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10554570568589453,
2,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.09805000068720021,
2,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10945450047416815,
2,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.09696511771739579,
256,média,PeriodicLoad,SingleApp,DispFrames,RT,0.14731182795698924,
256,média,PeriodicLoad,SingleApp,DispFrames,RF,0.13317204301075267,
256,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.17096774193548386,
256,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.14056451612903223,
256,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.14838709677419354,
256,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.15180107526881723,
128,média,PeriodicLoad,SingleApp,DispFrames,RT,0.12250128139415685,
128,média,PeriodicLoad,SingleApp,DispFrames,RF,0.08773278660515972,
128,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.07688364941055868,
128,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.07903639159405432,
128,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.1096873398257304,
128,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.08399111566717919,
64,média,PeriodicLoad,SingleApp,DispFrames,RT,0.0779746835443038,
64,média,PeriodicLoad,SingleApp,DispFrames,RF,0.09064345991561182,
64,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.08506329113924052,
64,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.08458438818565402,
64,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.09645569620253165,
64,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.08782911392405066,
32,média,PeriodicLoad,SingleApp,DispFrames,RT,0.10245901639344261,
32,média,PeriodicLoad,SingleApp,DispFrames,RF,0.08946486509562841,
32,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.0900358606557377,
32,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.09134541495901637,
32,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.0978483606557377,
32,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.09328359801912568,
16,média,PeriodicLoad,SingleApp,DispFrames,RT,0.10476374903175832,
16,média,PeriodicLoad,SingleApp,DispFrames,RF,0.09562731302177468,
16,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.11425251742835012,
16,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.09918237369825286,
16,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.11244513297185643,
16,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.10114898011877098,
8,média,PeriodicLoad,SingleApp,DispFrames,RT,0.11637917084695297,
8,média,PeriodicLoad,SingleApp,DispFrames,RF,0.09952506553610148,
8,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.11152464481051166,
8,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.09918416992998694,
8,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.10408103822130164,
8,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.10133607344358501,
4,média,PeriodicLoad,SingleApp,DispFrames,RT,0.09974225550746486,
4,média,PeriodicLoad,SingleApp,DispFrames,RF,0.09736554869317597,
4,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.09748901749096273,
4,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.09405350494685707,
4,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.10314642805038175,
4,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.09669025271928543,
2,média,PeriodicLoad,SingleApp,DispFrames,RT,0.09713104789691222,
2,média,PeriodicLoad,SingleApp,DispFrames,RF,0.09345429127157792,
2,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.099854121079504,
2,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.09254774833184753,
2,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.0923899829807926,
2,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.08982805197611907,
