período,função,carga,apps,feature,método,nmae,
16,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10987403359104239,
16,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10770461210343908,
16,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10719530347462897,
8,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11484799040990977,
8,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10693561097976535,
8,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10955346142319604,
8,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10705271219739601,
8,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11464819686324133,
8,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10760991419977134,
4,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10453740336704795,
4,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.09643858255116512,
4,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10321309738615107,
4,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.09663198640379193,
4,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.1005810392491185,
4,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.09577463622970087,
2,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.09066919556343545,
2,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.08886632581536304,
2,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.0930688986929452,
2,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.0887921081928009,
2,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.0944872799241331,
2,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.08785153726686733,
256,média,PeriodicLoad,SingleApp,DispFrames,RT,0.1870967741935484,
256,média,PeriodicLoad,SingleApp,DispFrames,RF,0.1400716845878136,
256,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.15376344086021504,
256,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.14528673835125447,
256,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.11397849462365592,
256,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.14399641577060934,
128,média,PeriodicLoad,SingleApp,DispFrames,RT,0.07175807278318812,
128,média,PeriodicLoad,SingleApp,DispFrames,RF,0.07711002904493422,
128,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.09584828293182983,
128,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.07308218007859217,
128,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.05381855458739108,
128,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.06799504527592688,
64,média,PeriodicLoad,SingleApp,DispFrames,RT,0.09265822784810127,
64,média,PeriodicLoad,SingleApp,DispFrames,RF,0.09180379746835443,
64,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.08911392405063293,
64,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.09029957805907174,
64,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.07696202531645571,
64,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.08774894514767934,
32,média,PeriodicLoad,SingleApp,DispFrames,RT,0.08888319672131147,
32,média,PeriodicLoad,SingleApp,DispFrames,RF,0.08670167349726776,
32,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.10271516393442623,
32,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.08643058401639343,
32,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.0900358606557377,
32,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.09056843408469945,
16,média,PeriodicLoad,SingleApp,DispFrames,RT,0.10089078233927187,
16,média,PeriodicLoad,SingleApp,DispFrames,RF,0.09707806179533521,
16,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.10437645236250968,
16,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.09611573715466044,
16,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.11289697908597986,
16,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.09591455805146742,
8,média,PeriodicLoad,SingleApp,DispFrames,RT,0.09848215152593935,
8,média,PeriodicLoad,SingleApp,DispFrames,RF,0.095119583158031,
8,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.09809378944302403,
8,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.09517702838279557,
8,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.10084468753034079,
8,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.09488980225897277,
4,média,PeriodicLoad,SingleApp,DispFrames,RT,0.10024477621618116,
4,média,PeriodicLoad,SingleApp,DispFrames,RF,0.09498586998222264,
4,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.10039066932516331,
4,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.09347884820092182,
4,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.10373000048631036,
4,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.09429666012849398,
2,média,PeriodicLoad,SingleApp,DispFrames,RT,0.09717967420374421,
2,média,PeriodicLoad,SingleApp,DispFrames,RF,0.09366230380635923,
2,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.1012237620552719,
2,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.09370708053056702,
2,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.099781181619256,
2,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.09334042466974635,
