experimento,período,carga,apps,feature,método,nmae,função
3,8,PeriodicLoad,BothApps,DispFrames,RF,0.09638213339754394,raw
2,8,média,PeriodicLoad,BothApps,DispFrames,RT,0.09222248976643392,média
2,8,média,PeriodicLoad,BothApps,DispFrames,RF,0.1018520748053616,média
2,8,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.0924632795569468,máximo
2,8,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.10210089092222491,máximo
2,8,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.11581988923669638,mínimo
2,8,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.09644634400834737,mínimo
1,8,PeriodicLoad,BothApps,DispFrames,RT,0.11227353916815515,raw
1,8,PeriodicLoad,BothApps,DispFrames,RF,0.10876924385472485,raw
2,4,média,PeriodicLoad,BothApps,DispFrames,RT,0.1036674816625917,média
2,4,média,PeriodicLoad,BothApps,DispFrames,RF,0.10592502037489815,média
2,4,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.12286063569682153,máximo
2,4,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.10551446617766913,máximo
2,4,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.10550122249388753,mínimo
2,4,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.10669213528932354,mínimo
1,4,PeriodicLoad,BothApps,DispFrames,RT,0.11727238666167106,raw
1,4,PeriodicLoad,BothApps,DispFrames,RF,0.1109549977103368,raw
2,2,média,PeriodicLoad,BothApps,DispFrames,RT,0.09530496367299592,média
2,2,média,PeriodicLoad,BothApps,DispFrames,RF,0.09052546960538901,média
2,2,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.09664814701752243,máximo
2,2,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.09110802450292042,máximo
2,2,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.09963978264851335,mínimo
2,2,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.09141990760526691,mínimo
1,2,PeriodicLoad,BothApps,DispFrames,RT,0.09463991706811391,raw
1,2,PeriodicLoad,BothApps,DispFrames,RF,0.09212248714352501,raw
3,256,FlashcrowdLoad,SingleApp,DispFrames,RT,0.14012738853503184,raw
3,256,FlashcrowdLoad,SingleApp,DispFrames,RF,0.11783439490445863,raw
2,256,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.07006369426751592,média
2,256,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.12022292993630575,média
