experimento,período,carga,apps,feature,método,nmae,função
2,64,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.07308641975308641,máximo
2,64,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.06222222222222222,mínimo
2,64,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.07259259259259258,mínimo
1,64,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10495626822157435,raw
1,64,FlashcrowdLoad,SingleApp,DispFrames,RF,0.11992225461613215,raw
3,32,FlashcrowdLoad,SingleApp,DispFrames,RT,0.08229243203526818,raw
3,32,FlashcrowdLoad,SingleApp,DispFrames,RF,0.07794513837864316,raw
2,32,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.05290227773695811,média
2,32,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.07539186872397748,média
2,32,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.09257898603967671,máximo
2,32,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.09020940484937545,máximo
2,32,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.06465833945628213,mínimo
2,32,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.08392113641929952,mínimo
1,32,FlashcrowdLoad,SingleApp,DispFrames,RT,0.06577086280056578,raw
1,32,FlashcrowdLoad,SingleApp,DispFrames,RF,0.0707213578500707,raw
3,16,FlashcrowdLoad,SingleApp,DispFrames,RT,0.0681265206812652,raw
3,16,FlashcrowdLoad,SingleApp,DispFrames,RF,0.052983431815548605,raw
2,16,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.07194994786235662,média
2,16,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.05738037307380372,média
2,16,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.08828640945429267,máximo
2,16,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.06898968833275401,máximo
2,16,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.0681265206812652,mínimo
2,16,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.0571515467500869,mínimo
1,16,FlashcrowdLoad,SingleApp,DispFrames,RT,0.07574704656011119,raw
1,16,FlashcrowdLoad,SingleApp,DispFrames,RF,0.07203208246467455,raw
3,8,FlashcrowdLoad,SingleApp,DispFrames,RT,0.09304347826086956,raw
