k,regression_tree_DispFrames_minimal_univariate_nmae,regression_tree_DispFrames_minimal_univariate_training_time,random_forest_DispFrames_minimal_univariate_nmae,random_forest_DispFrames_minimal_univariate_training_time,
13,0.006944444444444444,0.0009582042694091797, 0.0034143518518518555,0.0009582042694091797,
15,0.0,0.0010304450988769531, 0.004224537037037043,0.0010304450988769531,
16,0.006944444444444444,0.0010824203491210938, 0.0030092592592592606,0.0010824203491210938,
14,0.006944444444444444,0.0009107589721679688, 0.0035300925925925894,0.0009107589721679688,
16,0.0,0.0007417201995849609, 0.0030092592592592606,0.0007417201995849609,
16,0.0,0.00086212158203125, 0.0030092592592592606,0.00086212158203125,
14,0.0,0.0009489059448242188, 0.0035300925925925894,0.0009489059448242188,
16,0.006944444444444444,0.0008947849273681641, 0.0030092592592592606,0.0008947849273681641,
15,0.0,0.0008101463317871094, 0.004224537037037043,0.0008101463317871094,
15,0.006944444444444444,0.0008609294891357422, 0.004224537037037043,0.0008609294891357422,
16,0.0,0.0009248256683349609, 0.0030092592592592606,0.0009248256683349609,
16,0.0,0.0008957386016845703, 0.0030092592592592606,0.0008957386016845703,
