switch,regression_tree_DispFrames_nmae,time_to_train_regression_tree_s,random_forest_DispFrames_nmae,time_to_train_random_forest_s,
SWA6,0.0029761904761905398,0.0008637905120849609,0.0032490079365083227,0.0008637905120849609,
SWA6,0.0029761904761905398,0.0010249614715576172,0.0032490079365083227,0.0010249614715576172,
SWA6,0.0029761904761905398,0.001054525375366211,0.0032490079365083227,0.001054525375366211,
SWA6,0.0029761904761905398,0.001001119613647461,0.0032490079365083227,0.001001119613647461,
SWB1,0.020833333333333332,0.00072479248046875,0.01550925925925929,0.00072479248046875,
SWB1,0.020833333333333332,0.0007452964782714844,0.01550925925925929,0.0007452964782714844,
SWB1,0.020833333333333332,0.0010137557983398438,0.01550925925925929,0.0010137557983398438,
SWB1,0.020833333333333332,0.0009493827819824219,0.01550925925925929,0.0009493827819824219,
SWB1,0.020833333333333332,0.0009229183197021484,0.01550925925925929,0.0009229183197021484,
SWB1,0.020833333333333332,0.0009567737579345703,0.01550925925925929,0.0009567737579345703,
SWB1,0.020833333333333332,0.0007798671722412109,0.01550925925925929,0.0007798671722412109,
SWB2,0.005555555555555536,0.0007452964782714844,0.005960831863609863,0.0007452964782714844,
SWB2,0.005555555555555536,0.0007030963897705078,0.005960831863609863,0.0007030963897705078,
SWB2,0.005555555555555536,0.0007169246673583984,0.005960831863609763,0.0007169246673583984,
SWB2,0.005555555555555536,0.0008387565612792969,0.005960831863609763,0.0008387565612792969,
SWB2,0.005555555555555536,0.0010094642639160156,0.005960831863609763,0.0010094642639160156,
SWB2,0.005555555555555536,0.0007655620574951172,0.005960831863609763,0.0007655620574951172,
SWB2,0.005555555555555536,0.0008590221405029297,0.005960831863609763,0.0008590221405029297,
SWB3,0.0,0.0009131431579589844,0.0002893518518518601,0.0009131431579589844,
SWB3,0.0,0.0007441043853759766,0.0002893518518518601,0.0007441043853759766,
SWB3,0.0,0.0009822845458984375,0.0002893518518518601,0.0009822845458984375,
SWB3,0.0,0.0007832050323486328,0.0002893518518518601,0.0007832050323486328,
SWB3,0.0,0.0010867118835449219,0.0002893518518518601,0.0010867118835449219,
SWB3,0.0,0.0007297992706298828,0.0002893518518518601,0.0007297992706298828,
SWB3,0.0,0.0008654594421386719,0.0002893518518518601,0.0008654594421386719,
SWB4,0.004629629629629662,0.0006899833679199219,0.0046584729570839185,0.0006899833679199219,
SWB4,0.004629629629629662,0.0008649826049804688,0.0046584729570839185,0.0008649826049804688,
SWB4,0.004629629629629662,0.0009069442749023438,0.0046584729570839185,0.0009069442749023438,
SWB4,0.004629629629629662,0.0007240772247314453,0.00465847295708382,0.0007240772247314453,
SWB4,0.004629629629629662,0.0007712841033935547,0.0046584729570839185,0.0007712841033935547,
SWB4,0.004629629629629662,0.0007536411285400391,0.0046584729570839185,0.0007536411285400391,
SWB4,0.004629629629629662,0.0008876323699951172,0.0046584729570839185,0.0008876323699951172,
