k,regression_tree_WritesAvg_minimal_univariate_nmae,regression_tree_WritesAvg_minimal_univariate_training_time,random_forest_WritesAvg_minimal_univariate_nmae,random_forest_WritesAvg_minimal_univariate_training_time,
7,0.05489563133248467,0.0007500648498535156, 0.06481557678610737,0.0007500648498535156,
12,0.05956396012190982,0.0010380744934082031, 0.0706438780247716,0.0010380744934082031,
10,0.0357961695598959,0.0007240772247314453, 0.07173980552209262,0.0007240772247314453,
12,0.06762553794253437,0.000713348388671875, 0.0706438780247716,0.000713348388671875,
8,0.08698577164092894,0.001094818115234375, 0.0723246443932866,0.001094818115234375,
8,0.0561344805934556,0.0009789466857910156, 0.07232464439328659,0.0009789466857910156,
9,0.09086082784933143,0.0009984970092773438, 0.07144570421714212,0.0009984970092773438,
13,0.08918955007273863,0.0007834434509277344, 0.06976205864412424,0.0007834434509277344,
13,0.09341887626437868,0.0007290840148925781, 0.06976205864412424,0.0007290840148925781,
8,0.0697402010383544,0.0010190010070800781, 0.07232464439328659,0.0010190010070800781,
11,0.09041525116938318,0.0008695125579833984, 0.07006069728318991,0.0008695125579833984,
9,0.08600769430576384,0.001115560531616211, 0.07144570421714216,0.001115560531616211,
9,0.07368976351127285,0.0009963512420654297, 0.07144570421714218,0.0009963512420654297,
14,0.0719971564903284,0.0007638931274414062, 0.06590962945258912,0.0007638931274414062,
10,0.058249143689275626,0.0010089874267578125, 0.07173980552209262,0.0010089874267578125,
14,0.064001611672765,0.0008029937744140625, 0.06590962945258917,0.0008029937744140625,
12,0.07453942710818401,0.0007812976837158203, 0.0706438780247716,0.0007812976837158203,
10,0.07026028398281861,0.001020669937133789, 0.07173980552209261,0.001020669937133789,
9,0.08910043473674897,0.0011034011840820312, 0.07144570421714218,0.0011034011840820312,
10,0.06716754355183348,0.0009722709655761719, 0.07173980552209261,0.0009722709655761719,
11,0.07422445552721074,0.0007388591766357422, 0.0700606972831899,0.0007388591766357422,
15,0.08689621803279507,0.0008537769317626953, 0.07028906507104427,0.0008537769317626953,
15,0.08901088112861509,0.001100301742553711, 0.07028906507104435,0.001100301742553711,
13,0.06089849880103355,0.0009250640869140625, 0.06976205864412424,0.0009250640869140625,
11,0.07457872551044832,0.0008523464202880859, 0.07006069728318991,0.0008523464202880859,
10,0.06664746060736926,0.0009186267852783203, 0.07173980552209262,0.0009186267852783203,
11,0.07943185905401591,0.0009229183197021484, 0.07006069728318991,0.0009229183197021484,
12,0.05304174016247045,0.0007655620574951172, 0.0706438780247716,0.0007655620574951172,
16,0.04934111626746408,0.0010094642639160156, 0.07053102051279198,0.0010094642639160156,
16,0.07633911862303078,0.0012023448944091797, 0.070531020512792,0.0012023448944091797,
14,0.07368976351127285,0.0010411739349365234, 0.06590962945258912,0.0010411739349365234,
12,0.09121509783256901,0.0009114742279052734, 0.07064387802477162,0.0009114742279052734,
11,0.09562265469618836,0.0009486675262451172, 0.07006069728318991,0.0009486675262451172,
12,0.06716754355183348,0.0011293888092041016, 0.0706438780247716,0.0011293888092041016,
13,0.05736018169010015,0.0007963180541992188, 0.06976205864412426,0.0007963180541992188,
13,0.09041525116938318,0.0008294582366943359, 0.06976205864412424,0.0008294582366943359,
15,0.1133133637065669,0.0008893013000488281, 0.07028906507104438,0.0008893013000488281,
12,0.07544635826527216,0.0009579658508300781, 0.07064387802477162,0.0009579658508300781,
13,0.06098761413702319,0.001142263412475586, 0.06976205864412426,0.001142263412475586,
14,0.09647217220238477,0.0009799003601074219, 0.0659096294525891,0.0009799003601074219,
16,0.09523376121355807,0.0009713172912597656, 0.07053102051279196,0.0009713172912597656,
14,0.047226453171644055,0.0009021759033203125, 0.06590962945258914,0.0009021759033203125,
13,0.05956396012190982,0.0010578632354736328, 0.06976205864412424,0.0010578632354736328,
14,0.09130421316855866,0.0009992122650146484, 0.06590962945258912,0.0009992122650146484,
15,0.1246612521552033,0.0009276866912841797, 0.07028906507104433,0.0009276866912841797,
15,0.06098761413702319,0.0007843971252441406, 0.07028906507104439,0.0007843971252441406,
14,0.064771363648715,0.000759124755859375, 0.06590962945258912,0.000759124755859375,
15,0.1058130664119624,0.0011699199676513672, 0.07028906507104435,0.0011699199676513672,
16,0.11322424837057726,0.0009186267852783203, 0.07053102051279196,0.0009186267852783203,
15,0.1133133637065669,0.0010728836059570312, 0.07028906507104438,0.0010728836059570312,
16,0.12045004121219065,0.0007865428924560547, 0.07053102051279198,0.0007865428924560547,
16,0.09086082784933143,0.0010955333709716797, 0.07053102051279196,0.0010955333709716797,
16,0.09337943177139961,0.0009436607360839844, 0.07053102051279193,0.0009436607360839844,
