k,regression_tree_noAudioPlayed_minimal_univariate_nmae,regression_tree_noAudioPlayed_minimal_univariate_training_time,random_forest_noAudioPlayed_minimal_univariate_nmae,random_forest_noAudioPlayed_minimal_univariate_training_time,
9,0.183046683046683,0.0008862018585205078, 0.18281748719248714,0.0008862018585205078,
5,0.18243243243243243,0.0009081363677978516, 0.18243243243243243,0.0009081363677978516,
10,0.183046683046683,0.001079559326171875, 0.18281748719248714,0.001079559326171875,
13,0.1831081081081081,0.0009329319000244141, 0.18271018849143847,0.0009329319000244141,
12,0.183046683046683,0.0007660388946533203, 0.18281748719248714,0.0007660388946533203,
9,0.183046683046683,0.0008544921875, 0.18281748719248714,0.0008544921875,
10,0.183046683046683,0.0007925033569335938, 0.18281748719248714,0.0007925033569335938,
6,0.18243243243243243,0.0007996559143066406, 0.18243243243243243,0.0007996559143066406,
10,0.183046683046683,0.0007746219635009766, 0.18281748719248714,0.0007746219635009766,
11,0.183046683046683,0.0008800029754638672, 0.18281748719248708,0.0008800029754638672,
13,0.1831081081081081,0.0009520053863525391, 0.18271018849143847,0.0009520053863525391,
10,0.183046683046683,0.0008530616760253906, 0.18281748719248714,0.0008530616760253906,
14,0.1831081081081081,0.0009963512420654297, 0.18273310804560797,0.0009963512420654297,
11,0.183046683046683,0.0007843971252441406, 0.18281748719248714,0.0007843971252441406,
7,0.183046683046683,0.000965118408203125, 0.18281748719248714,0.000965118408203125,
11,0.183046683046683,0.0010750293731689453, 0.18281748719248714,0.0010750293731689453,
12,0.183046683046683,0.0008587837219238281, 0.18281748719248714,0.0008587837219238281,
15,0.1831081081081081,0.0008561611175537109, 0.18265300937175932,0.0008561611175537109,
11,0.183046683046683,0.0011029243469238281, 0.18281748719248714,0.0011029243469238281,
14,0.1831081081081081,0.0009510517120361328, 0.18273310804560797,0.0009510517120361328,
12,0.183046683046683,0.0008800029754638672, 0.18281748719248714,0.0008800029754638672,
8,0.183046683046683,0.0009725093841552734, 0.18281748719248714,0.0009725093841552734,
12,0.183046683046683,0.0010609626770019531, 0.18281748719248714,0.0010609626770019531,
13,0.1831081081081081,0.0009791851043701172, 0.18271018849143847,0.0009791851043701172,
16,0.1831081081081081,0.0009596347808837891, 0.18273551976676972,0.0009596347808837891,
12,0.183046683046683,0.0011749267578125, 0.18281748719248714,0.0011749267578125,
13,0.1831081081081081,0.0008182525634765625, 0.18271018849143847,0.0008182525634765625,
15,0.1831081081081081,0.0011761188507080078, 0.18265300937175932,0.0011761188507080078,
9,0.183046683046683,0.0009124279022216797, 0.18281748719248714,0.0009124279022216797,
14,0.1831081081081081,0.0009276866912841797, 0.18273310804560797,0.0009276866912841797,
13,0.1831081081081081,0.0008814334869384766, 0.18271018849143847,0.0008814334869384766,
13,0.1831081081081081,0.0008676052093505859, 0.18271018849143847,0.0008676052093505859,
16,0.1831081081081081,0.00107574462890625, 0.18273551976676972,0.00107574462890625,
14,0.1831081081081081,0.0010762214660644531, 0.18273310804560802,0.0010762214660644531,
10,0.183046683046683,0.0008006095886230469, 0.18281748719248714,0.0008006095886230469,
14,0.1831081081081081,0.0008976459503173828, 0.18273310804560797,0.0008976459503173828,
15,0.1831081081081081,0.000988006591796875, 0.18265300937175932,0.000988006591796875,
11,0.183046683046683,0.0009300708770751953, 0.18281748719248714,0.0009300708770751953,
15,0.1831081081081081,0.0007605552673339844, 0.18265300937175932,0.0007605552673339844,
15,0.1831081081081081,0.0007994174957275391, 0.18265300937175932,0.0007994174957275391,
14,0.1831081081081081,0.0012569427490234375, 0.18273310804560797,0.0012569427490234375,
16,0.1831081081081081,0.0009431838989257812, 0.18273551976676972,0.0009431838989257812,
12,0.183046683046683,0.0007839202880859375, 0.18281748719248714,0.0007839202880859375,
