k,regression_tree_ReadsAvg_minimal_univariate_nmae,regression_tree_ReadsAvg_minimal_univariate_training_time,random_forest_ReadsAvg_minimal_univariate_nmae,random_forest_ReadsAvg_minimal_univariate_training_time,
13,0.02940410851452262,0.0009694099426269531, 0.022433868563706973,0.0009694099426269531,
14,0.02940410851452262,0.0009663105010986328, 0.02269793734500408,0.0009663105010986328,
13,0.02288074456316515,0.0009238719940185547, 0.022433868563706973,0.0009238719940185547,
14,0.02940410851452262,0.0009810924530029297, 0.0226979373450041,0.0009810924530029297,
15,0.03861956269568429,0.0008800029754638672, 0.021522427873621186,0.0008800029754638672,
15,0.02288074456316515,0.0008895397186279297, 0.021522427873621207,0.0008895397186279297,
14,0.02288074456316515,0.0009167194366455078, 0.0226979373450041,0.0009167194366455078,
14,0.02288074456316515,0.0010960102081298828, 0.0226979373450041,0.0010960102081298828,
15,0.02940410851452262,0.0011179447174072266, 0.021522427873621186,0.0011179447174072266,
16,0.02893462508208735,0.001035928726196289, 0.02198132505655686,0.001035928726196289,
16,0.02940410851452262,0.0010221004486083984, 0.021981325056556898,0.0010221004486083984,
15,0.02288074456316515,0.0009026527404785156, 0.021522427873621228,0.0009026527404785156,
15,0.02288074456316515,0.0009515285491943359, 0.021522427873621186,0.0009515285491943359,
16,0.02940410851452262,0.0009324550628662109, 0.021981325056556877,0.0009324550628662109,
16,0.02893462508208735,0.0009694099426269531, 0.021981325056556898,0.0009694099426269531,
16,0.02940410851452262,0.0010256767272949219, 0.021981325056556818,0.0010256767272949219,
