switch,regression_tree_ReadsAvg_nmae,time_to_train_regression_tree_s,random_forest_ReadsAvg_nmae,time_to_train_random_forest_s,
SWA5,0.20249151316646755,0.000985860824584961,0.13817942906111275,0.000985860824584961,
SWC4,0.17351074426516006,0.0008025169372558594,0.16338127396016247,0.0008025169372558594,
SWA5,0.20249151316646755,0.000797271728515625,0.13817942906111275,0.000797271728515625,
SWA4,0.15148381362659175,0.0006909370422363281,0.15148381362659175,0.0006909370422363281,
SWA6,0.15148381362659175,0.0006976127624511719,0.15148381362659175,0.0006976127624511719,
SWB2,0.16745447947507522,0.0008029937744140625,0.14617329337941337,0.0008029937744140625,
SWB1,0.18195101387744594,0.0008149147033691406,0.1698403214622364,0.0008149147033691406,
SWB4,0.23431162292553442,0.0008122920989990234,0.21602565699954104,0.0008122920989990234,
SWA1,0.16714376714174245,0.0009400844573974609,0.15845122404738612,0.0009400844573974609,
SWA6,0.15148381362659175,0.0009357929229736328,0.15148381362659175,0.0009357929229736328,
SWA5,0.20249151316646755,0.000766754150390625,0.13817942906111277,0.000766754150390625,
SWB1,0.18195101387744594,0.0009171962738037109,0.1698403214622364,0.0009171962738037109,
SWB2,0.16745447947507522,0.00077056884765625,0.14617329337941337,0.00077056884765625,
SWB3,0.21490131703612103,0.0009298324584960938,0.18294998301508403,0.0009298324584960938,
SWA2,0.16476112010108923,0.000766754150390625,0.1486999379786686,0.000766754150390625,
SWB1,0.18195101387744594,0.0008170604705810547,0.1698403214622364,0.0008170604705810547,
SWA6,0.15148381362659175,0.0008332729339599609,0.15148381362659175,0.0008332729339599609,
SWB3,0.21490131703612103,0.0006573200225830078,0.18294998301508403,0.0006573200225830078,
SWA3,0.15148381362659175,0.0009672641754150391,0.15148381362659175,0.0009672641754150391,
SWB2,0.16745447947507522,0.0010228157043457031,0.14617329337941343,0.0010228157043457031,
SWB2,0.16745447947507522,0.0007619857788085938,0.14617329337941337,0.0007619857788085938,
SWB4,0.23431162292553442,0.0008835792541503906,0.21602565699954102,0.0008835792541503906,
SWB1,0.18195101387744594,0.0009903907775878906,0.1698403214622364,0.0009903907775878906,
SWA4,0.15148381362659175,0.0007696151733398438,0.15148381362659175,0.0007696151733398438,
SWB3,0.21490131703612103,0.0010907649993896484,0.18294998301508403,0.0010907649993896484,
SWB4,0.23431162292553442,0.0010428428649902344,0.21602565699954102,0.0010428428649902344,
SWB3,0.21490131703612103,0.0007894039154052734,0.18294998301508408,0.0007894039154052734,
SWB2,0.16745447947507522,0.0009431838989257812,0.14617329337941334,0.0009431838989257812,
SWA5,0.20249151316646755,0.001024007797241211,0.13817942906111277,0.001024007797241211,
SWB4,0.23431162292553442,0.0008566379547119141,0.216025656999541,0.0008566379547119141,
SWB4,0.23431162292553442,0.0010526180267333984,0.21602565699954104,0.0010526180267333984,
SWB3,0.21490131703612103,0.0008978843688964844,0.18294998301508403,0.0008978843688964844,
SWA6,0.15148381362659175,0.0009627342224121094,0.15148381362659175,0.0009627342224121094,
SWB4,0.23431162292553442,0.0009908676147460938,0.216025656999541,0.0009908676147460938,
SWB1,0.18195101387744594,0.0009634494781494141,0.1698403214622364,0.0009634494781494141,
SWB2,0.16745447947507522,0.0012240409851074219,0.14617329337941337,0.0012240409851074219,
SWB3,0.21490131703612103,0.0007476806640625,0.18294998301508403,0.0007476806640625,
SWB4,0.23431162292553442,0.0007982254028320312,0.21602565699954104,0.0007982254028320312,
