switch,regression_tree_ReadsAvg_nmae,time_to_train_regression_tree_s,random_forest_ReadsAvg_nmae,time_to_train_random_forest_s,
SWB1,0.0669234384288889,0.0007467269897460938,0.06602146831344582,0.0007467269897460938,
SWB2,0.10412065307792552,0.0009386539459228516,0.11305621403972294,0.0009386539459228516,
SWA6,0.11708334895269788,0.0008435249328613281,0.12192783514761552,0.0008435249328613281,
SWB1,0.0669234384288889,0.0009679794311523438,0.06602146831344577,0.0009679794311523438,
SWA6,0.11708334895269788,0.0008816719055175781,0.12192783514761552,0.0008816719055175781,
SWB4,0.05173743456545236,0.0007498264312744141,0.06047399988238671,0.0007498264312744141,
SWB2,0.10412065307792552,0.0009312629699707031,0.11305621403972295,0.0009312629699707031,
SWB3,0.1786915017738304,0.0008306503295898438,0.16533055163924285,0.0008306503295898438,
SWB1,0.0669234384288889,0.0010638236999511719,0.0660214683134458,0.0010638236999511719,
SWB2,0.10412065307792552,0.0009119510650634766,0.11305621403972295,0.0009119510650634766,
SWB1,0.0669234384288889,0.0008642673492431641,0.06602146831344578,0.0008642673492431641,
SWB3,0.1786915017738304,0.0009000301361083984,0.16533055163924282,0.0009000301361083984,
SWB4,0.05173743456545236,0.0009891986846923828,0.06047399988238671,0.0009891986846923828,
SWB3,0.1786915017738304,0.0008187294006347656,0.16533055163924285,0.0008187294006347656,
SWB2,0.10412065307792552,0.0010933876037597656,0.11305621403972295,0.0010933876037597656,
SWB2,0.10412065307792552,0.0010035037994384766,0.11305621403972294,0.0010035037994384766,
SWB4,0.05173743456545236,0.0011217594146728516,0.06047399988238671,0.0011217594146728516,
SWB4,0.05173743456545236,0.00075531005859375,0.060473999882386734,0.00075531005859375,
SWB3,0.1786915017738304,0.0007910728454589844,0.16533055163924285,0.0007910728454589844,
SWB3,0.1786915017738304,0.0009315013885498047,0.16533055163924285,0.0009315013885498047,
SWB4,0.05173743456545236,0.001070261001586914,0.06047399988238671,0.001070261001586914,
SWB4,0.05173743456545236,0.0010366439819335938,0.06047399988238671,0.0010366439819335938,
