k,regression_tree_noAudioPlayed_minimal_univariate_nmae,regression_tree_noAudioPlayed_minimal_univariate_training_time,random_forest_noAudioPlayed_minimal_univariate_nmae,random_forest_noAudioPlayed_minimal_univariate_training_time,
5,0.0948905109489051,0.0010271072387695312, 0.09634748488534971,0.0010271072387695312,
7,0.0948905109489051,0.0008673667907714844, 0.09634748488534971,0.0008673667907714844,
8,0.0948905109489051,0.0009694099426269531, 0.09634748488534971,0.0009694099426269531,
10,0.10792492179353497,0.0011303424835205078, 0.10779272346334387,0.0011303424835205078,
7,0.0948905109489051,0.000997304916381836, 0.09634748488534971,0.000997304916381836,
7,0.0948905109489051,0.000835418701171875, 0.09634748488534971,0.000835418701171875,
11,0.10792492179353497,0.0009748935699462891, 0.10776230983803947,0.0009748935699462891,
6,0.0948905109489051,0.0007827281951904297, 0.09634748488534971,0.0007827281951904297,
8,0.0948905109489051,0.0009200572967529297, 0.09634748488534971,0.0009200572967529297,
9,0.0948905109489051,0.0007762908935546875, 0.09634748488534971,0.0007762908935546875,
11,0.10792492179353497,0.00084686279296875, 0.10776230983803975,0.00084686279296875,
8,0.0948905109489051,0.0011165142059326172, 0.09634748488534971,0.0011165142059326172,
8,0.0948905109489051,0.0008993148803710938, 0.09634748488534971,0.0008993148803710938,
12,0.10792492179353497,0.0007803440093994141, 0.10803603246577682,0.0007803440093994141,
7,0.0948905109489051,0.0009779930114746094, 0.09634748488534971,0.0009779930114746094,
9,0.0948905109489051,0.0009760856628417969, 0.09634748488534971,0.0009760856628417969,
12,0.1115745568300313,0.0009961128234863281, 0.10803603246577682,0.0009961128234863281,
10,0.10792492179353497,0.0007903575897216797, 0.10779272346334375,0.0007903575897216797,
9,0.0948905109489051,0.0008566379547119141, 0.09634748488534957,0.0008566379547119141,
9,0.0948905109489051,0.00084686279296875, 0.09634748488534971,0.00084686279296875,
13,0.10792492179353497,0.0009295940399169922, 0.10809685971638522,0.0009295940399169922,
8,0.0948905109489051,0.0009663105010986328, 0.09634748488534971,0.0009663105010986328,
10,0.10792492179353497,0.0007824897766113281, 0.10779272346334387,0.0007824897766113281,
10,0.10792492179353497,0.0008378028869628906, 0.10779272346334387,0.0008378028869628906,
13,0.1115745568300313,0.0009744167327880859, 0.10809685971638522,0.0009744167327880859,
11,0.1115745568300313,0.00112152099609375, 0.10776230983803975,0.00112152099609375,
10,0.10792492179353497,0.0009894371032714844, 0.10779272346334387,0.0009894371032714844,
9,0.0948905109489051,0.0010373592376708984, 0.09634748488534971,0.0010373592376708984,
14,0.1115745568300313,0.0009095668792724609, 0.10818810059229764,0.0009095668792724609,
11,0.10792492179353497,0.0010402202606201172, 0.10776230983803961,0.0010402202606201172,
11,0.1115745568300313,0.0007987022399902344, 0.10776230983803947,0.0007987022399902344,
14,0.1115745568300313,0.0008823871612548828, 0.10818810059229753,0.0008823871612548828,
