k,regression_tree_DispFrames_minimal_univariate_nmae,regression_tree_DispFrames_minimal_univariate_training_time,random_forest_DispFrames_minimal_univariate_nmae,random_forest_DispFrames_minimal_univariate_training_time,
9,0.09090909090909091,0.0009303092956542969, 0.09090909090909091,0.0009303092956542969,
11,0.09090909090909091,0.000965118408203125, 0.09090909090909091,0.000965118408203125,
6,0.09090909090909091,0.0007343292236328125, 0.09090909090909091,0.0007343292236328125,
9,0.09090909090909091,0.0010225772857666016, 0.09090909090909091,0.0010225772857666016,
9,0.09090909090909091,0.0008487701416015625, 0.09090909090909091,0.0008487701416015625,
13,0.09090909090909091,0.0010390281677246094, 0.09090909090909091,0.0010390281677246094,
10,0.09090909090909091,0.0007336139678955078, 0.09090909090909091,0.0007336139678955078,
9,0.09090909090909091,0.0007977485656738281, 0.09090909090909091,0.0007977485656738281,
12,0.09090909090909091,0.0010416507720947266, 0.09090909090909091,0.0010416507720947266,
7,0.09090909090909091,0.0007550716400146484, 0.09090909090909091,0.0007550716400146484,
10,0.09090909090909091,0.000993490219116211, 0.09090909090909091,0.000993490219116211,
10,0.09090909090909091,0.0008161067962646484, 0.09090909090909091,0.0008161067962646484,
14,0.09090909090909091,0.0008413791656494141, 0.09090909090909091,0.0008413791656494141,
10,0.09090909090909091,0.0010228157043457031, 0.09090909090909091,0.0010228157043457031,
11,0.09090909090909091,0.0010309219360351562, 0.09090909090909091,0.0010309219360351562,
13,0.09090909090909091,0.0009098052978515625, 0.09090909090909091,0.0009098052978515625,
8,0.09090909090909091,0.0006990432739257812, 0.09090909090909091,0.0006990432739257812,
11,0.09090909090909091,0.0007448196411132812, 0.09090909090909091,0.0007448196411132812,
11,0.09090909090909091,0.0007894039154052734, 0.09090909090909091,0.0007894039154052734,
15,0.09090909090909091,0.0007307529449462891, 0.09090909090909091,0.0007307529449462891,
12,0.09090909090909091,0.0007619857788085938, 0.09090909090909091,0.0007619857788085938,
11,0.09090909090909091,0.000965118408203125, 0.09090909090909091,0.000965118408203125,
14,0.09090909090909091,0.0007500648498535156, 0.09090909090909091,0.0007500648498535156,
12,0.09090909090909091,0.0007119178771972656, 0.09090909090909091,0.0007119178771972656,
9,0.09090909090909091,0.001020193099975586, 0.09090909090909091,0.001020193099975586,
12,0.09090909090909091,0.001016378402709961, 0.09090909090909091,0.001016378402709961,
16,0.09090909090909091,0.0008280277252197266, 0.09090909090909091,0.0008280277252197266,
13,0.09090909090909091,0.0008494853973388672, 0.09090909090909091,0.0008494853973388672,
12,0.09090909090909091,0.0010495185852050781, 0.09090909090909091,0.0010495185852050781,
15,0.09090909090909091,0.0008063316345214844, 0.09090909090909091,0.0008063316345214844,
10,0.09090909090909091,0.0007386207580566406, 0.09090909090909091,0.0007386207580566406,
13,0.09090909090909091,0.0007445812225341797, 0.09090909090909091,0.0007445812225341797,
13,0.09090909090909091,0.0008630752563476562, 0.09090909090909091,0.0008630752563476562,
13,0.09090909090909091,0.0009636878967285156, 0.09090909090909091,0.0009636878967285156,
14,0.09090909090909091,0.0009567737579345703, 0.09090909090909091,0.0009567737579345703,
16,0.09090909090909091,0.0007936954498291016, 0.09090909090909091,0.0007936954498291016,
11,0.09090909090909091,0.0007565021514892578, 0.09090909090909091,0.0007565021514892578,
14,0.09090909090909091,0.0010235309600830078, 0.09090909090909091,0.0010235309600830078,
14,0.09090909090909091,0.0009241104125976562, 0.09090909090909091,0.0009241104125976562,
15,0.09090909090909091,0.0008473396301269531, 0.09090909090909091,0.0008473396301269531,
14,0.09090909090909091,0.001039743423461914, 0.09090909090909091,0.001039743423461914,
12,0.09090909090909091,0.0008344650268554688, 0.09090909090909091,0.0008344650268554688,
15,0.09090909090909091,0.0007379055023193359, 0.09090909090909091,0.0007379055023193359,
15,0.09090909090909091,0.0010976791381835938, 0.09090909090909091,0.0010976791381835938,
15,0.09090909090909091,0.0007884502410888672, 0.09090909090909091,0.0007884502410888672,
16,0.09090909090909091,0.001074075698852539, 0.09090909090909091,0.001074075698852539,
13,0.09090909090909091,0.0007512569427490234, 0.09090909090909091,0.0007512569427490234,
16,0.09090909090909091,0.0007948875427246094, 0.09090909090909091,0.0007948875427246094,
16,0.09090909090909091,0.0008542537689208984, 0.09090909090909091,0.0008542537689208984,
16,0.09090909090909091,0.0009362697601318359, 0.09090909090909091,0.0009362697601318359,
14,0.09090909090909091,0.0008418560028076172, 0.09090909090909091,0.0008418560028076172,
15,0.09090909090909091,0.0008759498596191406, 0.09090909090909091,0.0008759498596191406,
16,0.09090909090909091,0.0007991790771484375, 0.09090909090909091,0.0007991790771484375,
