k,regression_tree_ReadsAvg_minimal_univariate_nmae,regression_tree_ReadsAvg_minimal_univariate_training_time,random_forest_ReadsAvg_minimal_univariate_nmae,random_forest_ReadsAvg_minimal_univariate_training_time,
5,0.044110186515331475,0.0007560253143310547, 0.025882408317507974,0.0007560253143310547,
8,0.053759586318749844,0.0009694099426269531, 0.02997200762803923,0.0009694099426269531,
6,0.044110186515331475,0.0007560253143310547, 0.02439184230774412,0.0007560253143310547,
9,0.033568905117496814,0.0010118484497070312, 0.03934165420117874,0.0010118484497070312,
4,0.033780904898084455,0.001016378402709961, 0.0398476146565483,0.001016378402709961,
5,0.044110186515331475,0.0009202957153320312, 0.025882408317507974,0.0009202957153320312,
6,0.04411997112058935,0.0008900165557861328, 0.02439184230774412,0.0008900165557861328,
6,0.04411997112058935,0.0008070468902587891, 0.02439184230774412,0.0008070468902587891,
9,0.03203657663347318,0.0009570121765136719, 0.0393416542011787,0.0009570121765136719,
5,0.040695952286706756,0.0007238388061523438, 0.025882408317508016,0.0007238388061523438,
7,0.06164538515023077,0.0009257793426513672, 0.024774405548168173,0.0009257793426513672,
10,0.03355912051223894,0.0011279582977294922, 0.037954661697273684,0.0011279582977294922,
6,0.03579475456207222,0.0008003711700439453, 0.024391842307744094,0.0008003711700439453,
7,0.057173820547374556,0.0006918907165527344, 0.024774405548168194,0.0006918907165527344,
7,0.040695952286706756,0.0008287429809570312, 0.02477440554816815,0.0008287429809570312,
10,0.04488109480837743,0.001007080078125, 0.037954661697273684,0.001007080078125,
11,0.04858293713094621,0.0008099079132080078, 0.04003265241375877,0.0008099079132080078,
7,0.0699706017087479,0.0006783008575439453, 0.024774405548168132,0.0006783008575439453,
8,0.0699706017087479,0.0006763935089111328, 0.029972007628039147,0.0006763935089111328,
8,0.04884860398885743,0.0006928443908691406, 0.029972007628039192,0.0006928443908691406,
6,0.03579475456207222,0.0009822845458984375, 0.02439184230774412,0.0009822845458984375,
8,0.03578496995681434,0.001062154769897461, 0.029972007628039147,0.001062154769897461,
11,0.04858293713094621,0.0010368824005126953, 0.04003265241375871,0.0010368824005126953,
9,0.061389502897577435,0.0007164478302001953, 0.039341654201178675,0.0007164478302001953,
12,0.06137971829231955,0.001047372817993164, 0.03893624786085332,0.001047372817993164,
9,0.04510021066551627,0.00078582763671875, 0.039341654201178765,0.00078582763671875,
8,0.057173820547374556,0.0009329319000244141, 0.029972007628039168,0.0009329319000244141,
7,0.057173820547374556,0.0009298324584960938, 0.02477440554816811,0.0009298324584960938,
9,0.045109995270774146,0.0011229515075683594, 0.03934165420117872,0.0011229515075683594,
12,0.045109995270774146,0.0010936260223388672, 0.03893624786085332,0.0010936260223388672,
10,0.03726096283480772,0.0007388591766357422, 0.037954661697273684,0.0007388591766357422,
13,0.06312137802822415,0.0007519721984863281, 0.041811590013180015,0.0007519721984863281,
8,0.06164538515023077,0.0010080337524414062, 0.029972007628039147,0.0010080337524414062,
10,0.04510021066551627,0.0008599758148193359, 0.037954661697273684,0.0008599758148193359,
9,0.035748203561299846,0.0011968612670898438, 0.03934165420117872,0.0011968612670898438,
10,0.03726096283480772,0.0012059211730957031, 0.03795466169727373,0.0012059211730957031,
13,0.05571769338308658,0.001039266586303711, 0.04181159001317999,0.001039266586303711,
11,0.05571769338308658,0.0009884834289550781, 0.040032652413758744,0.0009884834289550781,
