período,função,carga,apps,feature,método,nmae,
2,mínimo,PeriodicLoad,BothApps,noAudioPlayed,RF,0.43577623915214725,
4,média,PeriodicLoad,BothApps,noAudioPlayed,RT,0.46380921216766885,
4,média,PeriodicLoad,BothApps,noAudioPlayed,RF,0.392210367635804,
4,máximo,PeriodicLoad,BothApps,noAudioPlayed,RT,0.7734273149509937,
4,máximo,PeriodicLoad,BothApps,noAudioPlayed,RF,0.6952245076072574,
4,mínimo,PeriodicLoad,BothApps,noAudioPlayed,RT,0.6949689202477767,
4,mínimo,PeriodicLoad,BothApps,noAudioPlayed,RF,0.5985083928836907,
8,média,PeriodicLoad,BothApps,noAudioPlayed,RT,0.4387019361431506,
8,média,PeriodicLoad,BothApps,noAudioPlayed,RF,0.40383269359921625,
8,máximo,PeriodicLoad,BothApps,noAudioPlayed,RT,1.406350247885681,
8,máximo,PeriodicLoad,BothApps,noAudioPlayed,RF,1.1534395657140082,
8,mínimo,PeriodicLoad,BothApps,noAudioPlayed,RT,0.8941480456639678,
8,mínimo,PeriodicLoad,BothApps,noAudioPlayed,RF,0.6987025556096862,
16,média,PeriodicLoad,BothApps,noAudioPlayed,RT,0.4169401776825793,
16,média,PeriodicLoad,BothApps,noAudioPlayed,RF,0.41579895989443505,
16,máximo,PeriodicLoad,BothApps,noAudioPlayed,RT,1.8282505253318515,
16,máximo,PeriodicLoad,BothApps,noAudioPlayed,RF,1.1662399610401877,
16,mínimo,PeriodicLoad,BothApps,noAudioPlayed,RT,0.4895732131096241,
16,mínimo,PeriodicLoad,BothApps,noAudioPlayed,RF,0.6313288164538615,
32,média,PeriodicLoad,BothApps,noAudioPlayed,RT,0.44886075863809227,
32,média,PeriodicLoad,BothApps,noAudioPlayed,RF,0.42258871749638005,
32,máximo,PeriodicLoad,BothApps,noAudioPlayed,RT,1.9739365446408708,
32,máximo,PeriodicLoad,BothApps,noAudioPlayed,RF,1.4947193175697937,
32,mínimo,PeriodicLoad,BothApps,noAudioPlayed,RT,1.0,
32,mínimo,PeriodicLoad,BothApps,noAudioPlayed,RF,1.0,
64,média,PeriodicLoad,BothApps,noAudioPlayed,RT,0.42683462845710207,
64,média,PeriodicLoad,BothApps,noAudioPlayed,RF,0.4327144910309228,
64,máximo,PeriodicLoad,BothApps,noAudioPlayed,RT,0.69769155909208,
64,máximo,PeriodicLoad,BothApps,noAudioPlayed,RF,0.9112539475818376,
64,mínimo,PeriodicLoad,BothApps,noAudioPlayed,RT,1.0,
64,mínimo,PeriodicLoad,BothApps,noAudioPlayed,RF,1.0,
128,média,PeriodicLoad,BothApps,noAudioPlayed,RT,0.42512187274205204,
128,média,PeriodicLoad,BothApps,noAudioPlayed,RF,0.4233975380840559,
128,máximo,PeriodicLoad,BothApps,noAudioPlayed,RT,0.37675197390262566,
128,máximo,PeriodicLoad,BothApps,noAudioPlayed,RF,0.9719966247588258,
128,mínimo,PeriodicLoad,BothApps,noAudioPlayed,RT,1.0,
128,mínimo,PeriodicLoad,BothApps,noAudioPlayed,RF,1.0,
256,média,PeriodicLoad,BothApps,noAudioPlayed,RT,0.4285855590825628,
256,média,PeriodicLoad,BothApps,noAudioPlayed,RF,0.42704127120135565,
256,máximo,PeriodicLoad,BothApps,noAudioPlayed,RT,2.0336340405900732,
256,máximo,PeriodicLoad,BothApps,noAudioPlayed,RF,2.2148939295097976,
256,mínimo,PeriodicLoad,BothApps,noAudioPlayed,RT,1.0,
256,mínimo,PeriodicLoad,BothApps,noAudioPlayed,RF,1.0,
