período,função,carga,apps,feature,método,nmae
128,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.11238198472136193,
128,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.10893223406394531,
128,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.10663502915745023,
256,média,PeriodicLoad,BothApps,DispFrames,RT,0.11441897868918376,
256,média,PeriodicLoad,BothApps,DispFrames,RF,0.11265634633427153,
256,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.11669185504357055,
256,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.11284493338478192,
256,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.11673355154693067,
256,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.11297191371180257,
2,média,PeriodicLoad,BothApps,noAudioPlayed,RT,0.36010119892040826,
2,média,PeriodicLoad,BothApps,noAudioPlayed,RF,0.29074208273797025,
2,máximo,PeriodicLoad,BothApps,noAudioPlayed,RT,0.34858523012314263,
2,máximo,PeriodicLoad,BothApps,noAudioPlayed,RF,0.2881220272420564,
2,mínimo,PeriodicLoad,BothApps,noAudioPlayed,RT,0.3422539506945055,
2,mínimo,PeriodicLoad,BothApps,noAudioPlayed,RF,0.28015403874618544,
4,média,PeriodicLoad,BothApps,noAudioPlayed,RT,0.3350650827621145,
4,média,PeriodicLoad,BothApps,noAudioPlayed,RF,0.27532541381057246,
4,máximo,PeriodicLoad,BothApps,noAudioPlayed,RT,0.35741549949419626,
4,máximo,PeriodicLoad,BothApps,noAudioPlayed,RF,0.28763853111822596,
4,mínimo,PeriodicLoad,BothApps,noAudioPlayed,RT,0.3604081695315979,
4,mínimo,PeriodicLoad,BothApps,noAudioPlayed,RF,0.29641930514971165,
8,média,PeriodicLoad,BothApps,noAudioPlayed,RT,0.36771240347639617,
8,média,PeriodicLoad,BothApps,noAudioPlayed,RF,0.30248190665690694,
