período,função,carga,apps,feature,método,switch,nmae,
256,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.14308068689347314,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.08702036989039451,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.08698695163774708,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.8590770834187551,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.8607443939417161,
2,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.14032362839998302,
2,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.14045750957348954,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.09550335044912377,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.09550592956685797,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.19123051294799573,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.1913706807865525,
4,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.1450292055842564,
4,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.14353150323622527,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.09118790811444813,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.09118780790351097,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.2806457467559444,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.277966721551173,
8,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.13959773887484733,
8,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.13960680864499964,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.08715998160622213,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.08716044249753803,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.3600497113692265,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.35996406157876193,
16,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.14074805127043202,
16,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.14059121017229909,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.08843327514274986,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.08843341546902361,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.45384849931597243,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.45400882579561536,
32,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.13099472346445432,
32,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.1322003870040806,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.08248674306547413,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.08248667192261411,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.53122663288503,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.5318775323089643,
64,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC4,0.13502973787191752,
64,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC4,0.13460740345463368,
