# hostname;interval;timestamp;CPU;%usr;%nice;%sys;%iowait;%steal;%irq;%soft;%guest;%gnice;%idle
ST-F-01;1;2024-09-26 10:42:17 UTC;10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:17 UTC;11;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00
ST-F-01;1;2024-09-26 10:42:18 UTC;-1;0.33;0.00;0.17;0.17;0.00;0.00;0.08;0.00;0.00;99.25
ST-F-01;1;2024-09-26 10:42:18 UTC;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:18 UTC;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:18 UTC;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:18 UTC;3;0.99;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.01
ST-F-01;1;2024-09-26 10:42:18 UTC;4;1.01;0.00;1.01;2.02;0.00;0.00;0.00;0.00;0.00;95.96
ST-F-01;1;2024-09-26 10:42:18 UTC;5;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00
ST-F-01;1;2024-09-26 10:42:18 UTC;6;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:18 UTC;7;0.99;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.01
ST-F-01;1;2024-09-26 10:42:18 UTC;8;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:18 UTC;9;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:18 UTC;10;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;99.00
ST-F-01;1;2024-09-26 10:42:18 UTC;11;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00
ST-F-01;1;2024-09-26 10:42:19 UTC;-1;0.33;0.00;0.33;0.25;0.00;0.00;0.00;0.00;0.00;99.08
ST-F-01;1;2024-09-26 10:42:19 UTC;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:19 UTC;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:19 UTC;2;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00
ST-F-01;1;2024-09-26 10:42:19 UTC;3;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;98.00
ST-F-01;1;2024-09-26 10:42:19 UTC;4;2.00;0.00;1.00;3.00;0.00;0.00;0.00;0.00;0.00;94.00
ST-F-01;1;2024-09-26 10:42:19 UTC;5;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:19 UTC;6;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:19 UTC;7;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00
ST-F-01;1;2024-09-26 10:42:19 UTC;8;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:19 UTC;9;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:19 UTC;10;0.00;0.00;1.01;0.00;0.00;0.00;0.00;0.00;0.00;98.99
ST-F-01;1;2024-09-26 10:42:19 UTC;11;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:20 UTC;-1;0.42;0.00;0.17;0.17;0.00;0.08;0.00;0.00;0.00;99.17
ST-F-01;1;2024-09-26 10:42:20 UTC;0;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00
ST-F-01;1;2024-09-26 10:42:20 UTC;1;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00
ST-F-01;1;2024-09-26 10:42:20 UTC;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:20 UTC;3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
