# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
ST-F-01;1;2024-10-11 10:59:54 UTC;-1;12.05;0.00;0.84;0.84;0.00;86.27
ST-F-01;1;2024-10-11 10:59:55 UTC;-1;2.75;0.00;1.33;0.17;0.00;95.75
ST-F-01;1;2024-10-11 10:59:56 UTC;-1;2.84;0.00;1.17;0.84;0.00;95.15
ST-F-01;1;2024-10-11 10:59:57 UTC;-1;2.27;0.00;0.42;1.34;0.00;95.97
ST-F-01;1;2024-10-11 10:59:58 UTC;-1;3.96;0.00;0.84;0.25;0.00;94.95
ST-F-01;1;2024-10-11 10:59:59 UTC;-1;1.85;0.00;0.25;0.67;0.00;97.22
ST-F-01;1;2024-10-11 11:00:00 UTC;-1;7.50;0.00;2.36;0.17;0.00;89.97
ST-F-01;1;2024-10-11 11:00:01 UTC;-1;9.51;0.00;2.61;0.17;0.00;87.71
ST-F-01;1;2024-10-11 11:00:02 UTC;-1;1.86;0.00;0.51;0.25;0.00;97.38
ST-F-01;1;2024-10-11 11:00:03 UTC;-1;2.02;0.00;0.67;0.17;0.00;97.14
ST-F-01;1;2024-10-11 11:00:04 UTC;-1;1.60;0.00;0.67;0.17;0.00;97.57
ST-F-01;1;2024-10-11 11:00:05 UTC;-1;1.10;0.00;0.42;0.25;0.00;98.23
ST-F-01;1;2024-10-11 11:00:06 UTC;-1;1.51;0.00;0.67;0.17;0.00;97.65
ST-F-01;1;2024-10-11 11:00:07 UTC;-1;1.94;0.08;0.17;0.08;0.00;97.72
ST-F-01;1;2024-10-11 11:00:08 UTC;-1;1.51;0.00;0.50;0.25;0.00;97.73
ST-F-01;1;2024-10-11 11:00:09 UTC;-1;1.43;0.00;0.34;0.17;0.00;98.06
ST-F-01;1;2024-10-11 11:00:10 UTC;-1;1.69;0.00;0.76;0.17;0.00;97.38
ST-F-01;1;2024-10-11 11:00:11 UTC;-1;1.52;0.00;0.34;0.17;0.00;97.97
ST-F-01;1;2024-10-11 11:00:12 UTC;-1;1.09;0.00;0.42;0.25;0.00;98.23
